A	B	Y	Z	coefficient
22	0	0	0	210162077901955825242289124689077980237603474082165819986411520000000000000000000000000
21	1	0	0	9401967905936921064883805419728103839215194780462384939008000000000000000000000000000
21	0	1	0	46387705729432309679475220654854735061641478031624583197491200000000000000000000000000
21	0	0	0	-21982728327132711376867844625600367998566879651948901236587521638400000000000000000000000
20	2	0	0	105153367090216191365419957492983284631355103359323340800000000000000000000000000000
20	1	1	0	1037617549398311337632792750184585340931168032178558730240000000000000000000000000000
20	1	0	0	-3737049625310234303848689794329925514127532150643530710206382080000000000000000000000000
20	0	2	0	2559713988748563992123096173474510211862497254963956154368000000000000000000000000000
20	0	1	0	2848678172059874452675621432177595986152132734753775227385151488000000000000000000000000
20	0	0	1	-1499566238153578030737220486248296551385782477951462630112624640000000000000000000000000
20	0	0	0	-46880307193146718993493220417473996348581393918217311317019796176896000000000000000000000
19	2	0	0	-54844985096798648539091438597559263790199498591507297861632000000000000000000000000000
19	1	1	0	-883805535428031218955226478111397873523560142926829200605184000000000000000000000000000
19	1	0	1	-61660780992127308517705015008015564709181797864506774257664000000000000000000000000000
19	1	0	0	384563952552221370243260903159527302980602243472297147618506781491200000000000000000000000
19	0	2	0	1904522599918933436307786001861039796449723336127386230561177600000000000000000000000000
19	0	1	1	-330477539566007547204885849832985513959394325847919867776204800000000000000000000000000
19	0	1	0	-1076412614922858650989996614302809781573492526778541186786988486819840000000000000000000000
19	0	0	1	196016813960832183811254825302792348565977838791860955232617260646400000000000000000000000
19	0	0	0	106885022887758676573370358548647949253539418581396397535695926989317734400000000000000000000
18	3	0	0	396989625733734381306601454012932271317850012148930969600000000000000000000000000000
18	2	1	0	-12438326994291710565847288479168997687421581251643504066560000000000000000000000000000
18	2	0	1	-628952207621874108495425561079080297973916826271429427200000000000000000000000000000
18	2	0	0	2753458466408524047547479041051383914284819280880639058022236160000000000000000000000000
18	1	2	0	-81979007146237464845256278628170020953725125754298115817472000000000000000000000000000
18	1	1	1	-6793539829977771875603625034910778118648658854096876339200000000000000000000000000000
18	1	1	0	37316469765425049709517422711153968582230608159815699771017920512000000000000000000000000
18	1	0	1	16962745639749940135517415976604767577655094221584152431679242240000000000000000000000000
18	1	0	0	-12550481279006774476079591575499948656879450809589552966089089369505792000000000000000000000
