A	B	Y	Z	u	coefficient
11	0	0	0	0	-125380786608
10	0	0	0	1	1780525587456
10	0	0	0	0	24721308695952
9	1	0	0	0	-1111403647728
9	0	1	0	1	98686304640
9	0	1	0	0	1383533851392
9	0	0	1	0	615469383936
9	0	0	0	2	-3967773999552
9	0	0	0	1	-67206220067952
9	0	0	0	0	617135023095372
8	1	0	0	2	366231450816
8	1	0	0	1	24915637825056
8	1	0	0	0	258077208248640
8	0	2	0	0	-153806216256
8	0	1	0	2	-290901093120
8	0	1	0	1	30375336568608
8	0	1	0	0	885307464944640
8	0	0	1	1	-8947646436096
8	0	0	1	0	-153771526081440
8	0	0	0	2	17521477045344
8	0	0	0	1	-6534238583216232
8	0	0	0	0	-110225336868495396
7	2	0	0	0	-2934792593568
7	1	1	0	1	2958539867712
7	1	1	0	0	40922944615584
7	1	0	1	0	4807037990592
7	1	0	0	3	-1801988622720
7	1	0	0	2	-112725517696704
7	1	0	0	1	-1853879759364600
7	1	0	0	0	-1806638649693696
7	0	2	0	2	18568154880
7	0	2	0	1	6251089012992
7	0	2	0	0	169460522700768
7	0	1	1	1	-676240275456
7	0	1	1	0	-20582114401152
7	0	1	0	2	-92360491564032
7	0	1	0	1	-4217131789013520
7	0	1	0	0	-39203514485007264
7	0	0	2	0	-1118918515392
7	0	0	1	2	22095236785536
7	0	0	1	1	686358658893888
7	0	0	1	0	2783077426297008
7	0	0	0	2	13563919835458560
7	0	0	0	1	425731636677015648
7	0	0	0	0	1873597771862808624
6	2	0	0	2	1344254736528
6	2	0	0	1	80299789056288
6	2	0	0	0	754657825866624
6	1	2	0	0	1774236327552
6	1	1	0	3	-207852480000
6	1	1	0	2	-17977735423872
6	1	1	0	1	-102094353897552
6	1	1	0	0	4225642271330688
6	1	0	1	2	-1001773370880
6	1	0	1	1	-83356677369216
6	1	0	1	0	-1081831806850320
6	1	0	0	3	133375991839200
6	1	0	0	2	4170288985422912
6	1	0	0	1	-13287633239195928
6	1	0	0	0	-607093230092496480
6	0	3	0	1	352971302400
6	0	3	0	0	12056466726144
6	0	2	1	0	-519810079104
6	0	2	0	2	-12586253724288
6	0	2	0	1	-426337615823040
6	0	2	0	0	1340789171818176
6	0	1	1	2	3350702909952
6	0	1	1	1	24882995397888
6	0	1	1	0	-2045592425060928
6	0	1	0	2	4823543984657472
6	0	1	0	1	73237741690278384
6	0	1	0	0	-1219783173036804576
6	0	0	2	1	14845081102848
6	0	0	2	0	300433836589056
6	0	0	1	2	-946619789635008
6	0	0	1	1	-2589052875779808
6	0	0	1	0	322826148922740336
6	0	0	0	2	-379441463518671552
6	0	0	0	1	-2126800096557306624
6	0	0	0	0	103723601090313585744
5	3	0	0	0	-2727169194528
5	2	1	0	1	10560716190144
5	2	1	0	0	159840378663552
5	2	0	1	0	10920876668928
5	2	0	0	4	5144348880
5	2	0	0	3	-8721301104000
5	2	0	0	2	-515077809732864
5	2	0	0	1	-7509315695705712
5	2	0	0	0	-20811102272086032
5	1	2	0	2	-907718234112
5	1	2	0	1	26476067503872
5	1	2	0	0	1197299329614720
5	1	1	1	1	-9837604970496
5	1	1	1	0	-192811533836544
5	1	1	0	3	-8969987148480
5	1	1	0	2	-726523790793408
5	1	1	0	1	-38931106238244576
5	1	1	0	0	-355108122506122272
5	1	0	2	0	-7161705844416
5	1	0	1	3	3932266590720
5	1	0	1	2	326461241567808
5	1	0	1	1	7919131530764160
5	1	0	1	0	34135839126634176
5	1	0	0	3	1241241195663360
5	1	0	0	2	164389113911895552
5	1	0	0	1	4639700172215345544
5	1	0	0	0	24242984461761142464
5	0	4	0	0	349464264192
5	0	3	0	2	-125164984320
5	0	3	0	1	26767960410240
5	0	3	0	0	1581324298930944
5	0	2	1	2	93329542656
5	0	2	1	1	-7873421709312
5	0	2	1	0	-586105276351680
5	0	2	0	2	-183925182746880
5	0	2	0	1	-31840909775240256
5	0	2	0	0	-791781891814759392
5	0	1	2	1	1313234643456
5	0	1	2	0	51383627285760
5	0	1	1	2	153774026415360
5	0	1	1	1	11469939306444288
5	0	1	1	0	213113243025489024
5	0	1	0	2	79364795291048448
5	0	1	0	1	7558904069141718384
5	0	1	0	0	117073616535908827488
5	0	0	3	0	935645209344
5	0	0	2	2	-32724747947520
5	0	0	2	1	-1406497896287424
5	0	0	2	0	-13120793029097136
5	0	0	1	2	-25783466042770560
5	0	0	1	1	-1510197392564129664
5	0	0	1	0	-16955218634289846768
5	0	0	0	2	-7272258719171020416
5	0	0	0	1	-488344703544953698752
5	0	0	0	0	-5420983080497021950824
4	3	0	0	2	1432033673184
4	3	0	0	1	82918372546080
4	3	0	0	0	712318222957680
4	2	2	0	0	9621241876224
4	2	1	0	3	-951491966400
4	2	1	0	2	-106404249708288
4	2	1	0	1	-1604966904421344
4	2	1	0	0	1023493565788992
4	2	0	1	2	-2902127025024
4	2	0	1	1	-191755510968384
4	2	0	1	0	-2151974997015264
4	2	0	0	4	24876923271120
4	2	0	0	3	1507919706639360
4	2	0	0	2	32386135632020496
4	2	0	0	1	201845878016787216
4	2	0	0	0	-330045038522305488
4	1	3	0	1	2107465423488
4	1	3	0	0	120525716966400
4	1	2	1	0	-10142241123456
4	1	2	0	3	-5056937464320
4	1	2	0	2	-394733967465600
4	1	2	0	1	-9970319534803200
4	1	2	0	0	-55573286472096192
4	1	1	1	3	459845268480
4	1	1	1	2	61232615013888
4	1	1	1	1	1444732341087744
4	1	1	1	0	-484720346587968
4	1	1	0	3	2962093466975040
4	1	1	0	2	166981178190307392
4	1	1	0	1	2702116754645959440
4	1	1	0	0	7663934432483475840
4	1	0	2	2	769356506880
4	1	0	2	1	85401225217152
4	1	0	2	0	1392559135138368
4	1	0	1	3	-526096659242880
4	1	0	1	2	-23585915060515008
4	1	0	1	1	-252877914608282496
4	1	0	1	0	263024584658995824
4	1	0	0	3	-318687399459090720
4	1	0	0	2	-14702740318688379264
4	1	0	0	1	-178967113606115695512
4	1	0	0	0	-330626644793531840448
4	0	4	0	2	24488801280
4	0	4	0	1	6437289563136
4	0	4	0	0	223319637121536
4	0	3	1	1	-692216782848
4	0	3	1	0	-54543907090944
4	0	3	0	2	-98622116808192
4	0	3	0	1	-8961668053262208
4	0	3	0	0	-152030944831495680
4	0	2	2	0	2389834907136
4	0	2	1	2	61745655400704
4	0	2	1	1	2992445193391488
4	0	2	1	0	35107429755163968
4	0	2	0	2	55394467442501760
4	0	2	0	1	3222620705387803392
4	0	2	0	0	35115316179066270720
4	0	1	2	2	-6164647575552
4	0	1	2	1	-228758259763584
4	0	1	2	0	-879630055214976
4	0	1	1	2	-27540988740774144
4	0	1	1	1	-964541296999986048
4	0	1	1	0	-6261309538810620480
4	0	1	0	2	-9753784690919689152
4	0	1	0	1	-425569727868596534736
4	0	1	0	0	-3369014233224740652384
4	0	0	3	1	-9339847409664
4	0	0	3	0	-221954043808512
4	0	0	2	2	2443865365693440
4	0	0	2	1	58051102754755872
4	0	0	2	0	103779868213562256
4	0	0	1	2	2584746030378056256
4	0	0	1	1	73657347726807500832
4	0	0	1	0	334660287787964454672
4	0	0	0	2	533779102919849587200
4	0	0	0	1	18722844939710601625104
4	0	0	0	0	115425753950955380128344
3	4	0	0	0	-605164385088
3	3	1	0	1	11390489744256
3	3	1	0	0	177078828165696
3	3	0	1	0	8196148586304
3	3	0	0	4	-33672101760
3	3	0	0	3	-12858661405440
3	3	0	0	2	-532593198100224
3	3	0	0	1	-7094914315601472
3	3	0	0	0	-28001584420952256
3	2	2	0	2	-6176075682816
3	2	2	0	1	-134341890501888
3	2	2	0	0	1168530294017664
3	2	1	1	1	-24844909265280
3	2	1	1	0	-452112861451392
3	2	1	0	4	5739562800000
3	2	1	0	3	434539493579520
3	2	1	0	2	8229589011910656
3	2	1	0	1	19829621333810304
3	2	1	0	0	-360143902173325824
3	2	0	2	0	-12482191435392
3	2	0	1	4	-16836050880
3	2	0	1	3	7899679146240
3	2	0	1	2	713267356428288
3	2	0	1	1	15151014217491840
3	2	0	1	0	74232075088397376
3	2	0	0	4	-1589966799380640
3	2	0	0	3	-76240897273486080
3	2	0	0	2	-954585600136573824
3	2	0	0	1	-535673526986031840
3	2	0	0	0	24922066036782864384
3	1	4	0	0	4546754104320
3	1	3	0	3	-306110016000
3	1	3	0	2	-48962909279232
3	1	3	0	1	-1205082891028224
3	1	3	0	0	-2485592106292224
3	1	2	1	2	3563120586240
3	1	2	1	1	102993775983360
3	1	2	1	0	-1318628891483136
3	1	2	0	3	462679166983680
3	1	2	0	2	36347804512095744
3	1	2	0	1	545420498602549248
3	1	2	0	0	354338688570414336
3	1	1	2	1	10028572270848
3	1	1	2	0	264956381375616
3	1	1	1	3	-103408044871680
3	1	1	1	2	-5670487238229504
3	1	1	1	1	-35450480957833728
3	1	1	1	0	440711765743350528
3	1	1	0	3	-137120521522423680
3	1	1	0	2	-7145805255619330944
3	1	1	0	1	-76798282113491284224
3	1	1	0	0	-12951229705426234656
3	1	0	3	0	4247658164736
3	1	0	2	3	-1579527682560
3	1	0	2	2	-177132805565184
3	1	0	2	1	-6846543195972192
3	1	0	2	0	-53812673219346624
3	1	0	1	3	24070187670186240
3	1	0	1	2	805757693509639296
3	1	0	1	1	3023949437180906688
3	1	0	1	0	-31995153907017575616
3	1	0	0	3	10388357844513989760
3	1	0	0	2	410997771816870943296
3	1	0	0	1	3443103583765160143608
3	1	0	0	0	-206792868692833870464
3	0	5	0	1	293865615360
3	0	5	0	0	14898986698752
3	0	4	1	0	-1975429969920
3	0	4	0	2	-4878169214976
3	0	4	0	1	-793635520762368
3	0	4	0	0	-14433976197886464
3	0	3	1	2	5544264609792
3	0	3	1	1	337474048239360
3	0	3	1	0	2205785511747072
3	0	3	0	2	5882836980768768
3	0	3	0	1	457115046853810176
3	0	3	0	0	4799717403011338752
3	0	2	2	2	-274274574336
3	0	2	2	1	-16383008056320
3	0	2	2	0	215451249221376
3	0	2	1	2	-4687237378036224
3	0	2	1	1	-190367459454396672
3	0	2	1	0	-645851305418285952
3	0	2	0	2	-1997298660067543296
3	0	2	0	1	-101091751168135045248
3	0	2	0	0	-726637696554880092384
3	0	1	3	1	-890303975424
3	0	1	3	0	-41461173153792
3	0	1	2	2	429922946391552
3	0	1	2	1	11186039034630720
3	0	1	2	0	-78230693394603648
3	0	1	1	2	1081558761967927296
3	0	1	1	1	32161513135571061120
3	0	1	1	0	72659929424172218496
3	0	1	0	2	255982018560413852160
3	0	1	0	1	9599309230117845090960
3	0	1	0	0	51621623754802742224800
3	0	0	4	0	-366001763328
3	0	0	3	2	11747005876224
3	0	0	3	1	684269894734848
3	0	0	3	0	10124957641769280
3	0	0	2	2	-78323322897665280
3	0	0	2	1	-1368258493683935232
3	0	0	2	0	5785991591439781728
3	0	0	1	2	-71627445547751816064
3	0	0	1	1	-1679716428745344497856
3	0	0	1	0	-2825598711002129480304
3	0	0	0	2	-11060854028562155625216
3	0	0	0	1	-329558618087439597297504
3	0	0	0	0	-1401122395421697521127744
2	4	0	0	2	41630962176
2	4	0	0	1	11534327439552
2	4	0	0	0	75964284245376
2	3	2	0	0	11916862922880
2	3	1	0	3	-1579527682560
2	3	1	0	2	-129600858574080
2	3	1	0	1	-1910504851819776
2	3	1	0	0	-5545520375114304
2	3	0	1	2	-2378474824320
2	3	0	1	1	-126322624376064
2	3	0	1	0	-1205503848987264
2	3	0	0	4	3260071670400
2	3	0	0	3	637388397515520
2	3	0	0	2	23544926861348160
2	3	0	0	1	238246757643589632
2	3	0	0	0	477837946957186080
2	2	3	0	1	-4176565058304
2	2	3	0	0	139223733037056
2	2	2	1	0	-27831522654720
2	2	2	0	4	330598817280
2	2	2	0	3	51169350274560
2	2	2	0	2	1071926258508288
2	2	2	0	1	-2236860984278016
2	2	2	0	0	-72897296954873472
