A	B	Y	Z	u	coefficient
21	0	0	0	1	-32450629392464714633125000
20	1	0	0	1	-725867813834950746093750
20	0	1	0	1	-7162615929667257675000000
20	0	0	0	3	5046728832588868528950000
20	0	0	0	2	295432728242360156286300000
20	0	0	0	1	1935610076677457238389100000
19	1	1	0	1	-80108035861613203125000
19	1	0	0	3	112887117856017047812500
19	1	0	0	2	5843601649596416619375000
19	1	0	0	1	124932253976760617230078125
19	0	2	0	1	-395239382998193250000000
19	0	1	0	3	1113931563293680362000000
19	0	1	0	2	108436832883063663363000000
19	0	1	0	1	-773503687292893521178500000
19	0	0	1	1	286824211366515835320000000
19	0	0	0	4	-15569859368015420113800000
19	0	0	0	3	-939809587233606133974930000
19	0	0	0	2	-22204787183290852064957340000
19	0	0	0	1	117302071253985579762599658750
18	2	0	0	2	-17106171469799414062500
18	2	0	0	1	-4299419862554525929687500
18	1	1	0	3	12458418892754793750000
18	1	1	0	2	1611847713182080893750000
18	1	1	0	1	35012004089267179785937500
18	1	0	1	1	5996965468566986718750000
18	1	0	0	4	-232165274158295651250000
18	1	0	0	3	-29668828951388510182406250
18	1	0	0	2	-1404679196005238240070637500
18	1	0	0	1	-4647902962342258597414528125
18	0	2	0	3	61467713486469180000000
18	0	2	0	2	13139697037307987520000000
18	0	2	0	1	-314417025756925179165000000
18	0	1	1	1	63229790929007780550000000
18	0	1	0	4	-5395081873230352056600000
18	0	1	0	3	-186766558720514282446200000
18	0	1	0	2	3268631587148147293207200000
18	0	1	0	1	138774745414604416219606350000
18	0	0	1	3	-36599051326306776060600000
18	0	0	1	2	-2230110636217135300767600000
18	0	0	1	1	-23079771385319636452278000000
18	0	0	0	4	1462425566099276215982160000
18	0	0	0	3	40667458790167894576312483500
18	0	0	0	2	-764898560223224085762580413000
18	0	0	0	1	-12920005642865526988678487135250
17	2	1	0	1	-484656213075032109375000
17	2	0	0	4	2597128439451046875000
17	2	0	0	3	759220741483444674843750
17	2	0	0	2	40737822140052756829687500
17	2	0	0	1	2050522222152082848314062500
17	1	2	0	2	106712923837719375000000
17	1	2	0	1	4655132480457714234375000
17	1	1	1	1	660951465172623281250000
17	1	1	0	4	-69429467694079226250000
17	1	1	0	3	-9620494053612390889875000
17	1	1	0	2	-601558433589563845646625000
17	1	1	0	1	-136146096621347475254625000
17	1	0	1	3	-753525395908138878750000
17	1	0	1	2	-40272965645442381967500000
17	1	0	1	1	-465651899640024423418125000
17	1	0	0	5	8761460755432250250000
17	1	0	0	4	95438321843621122290375000
17	1	0	0	3	4535653221001125504886635000
17	1	0	0	2	82339934944521481008440085000
17	1	0	0	1	-110712779246068210014421528125
17	0	3	0	2	526503361640454000000000
17	0	3	0	1	-32123248614207293400000000
17	0	2	1	1	3484712982658941000000000
17	0	2	0	4	-621911960259110136000000
17	0	2	0	3	-7287698452534702171200000
17	0	2	0	2	3767783838291699428030400000
17	0	2	0	1	17158264338826977979823100000
17	0	1	1	3	-8065976523195066300000000
17	0	1	1	2	-815180973227275340268000000
17	0	1	1	1	3052897832414854241433000000
17	0	1	0	4	-52013601286819784350200000
17	0	1	0	3	-17158721124290460734624220000
17	0	1	0	2	-1494846847703885345358758730000
17	0	1	0	1	-3462362695669270144519183365000
17	0	0	2	1	-1080184877597487314565000000
17	0	0	1	4	102404093178706441214400000
17	0	0	1	3	7391814512586993334464840000
17	0	0	1	2	223701021458318438360102160000
17	0	0	1	1	-271729859636570779073425680000
17	0	0	0	4	13479106604065241538131334000
17	0	0	0	3	2639374315731571889914405792200
17	0	0	0	2	130915513720137909771611185363200
17	0	0	0	1	219238814012568278392535046860250
16	3	0	0	2	-26220063743330273437500
16	3	0	0	1	-3173718272985354832031250
16	2	1	0	3	90344396398014000000000
16	2	1	0	2	9802346154540268415625000
16	2	1	0	1	560961804081570901917187500
16	2	0	1	2	119820788159118750000000
16	2	0	1	1	35335252712991470765625000
16	2	0	0	5	195979630707042187500
16	2	0	0	4	-2352319185045531611250000
16	2	0	0	3	-413585096720604773550018750
16	2	0	0	2	-18449157981460891581707737500
16	2	0	0	1	-179163173894147216263146093750
