A	B	Y	Z	coefficient
5	2	0	0	171478296
4	2	0	0	829230775704
3	3	0	0	-1122403392
3	2	1	0	191318760000
3	2	0	1	-561201696
3	2	0	0	-52998893312688
2	3	0	0	108669055680
2	2	2	0	11019960576
2	2	1	0	-8969329578816
2	2	0	1	54334527840
2	2	0	0	1258459983265680
1	4	0	0	1836660096
1	3	1	0	11019960576
1	3	0	1	1836660096
1	3	0	0	-2867944739904
1	2	2	0	-330598817280
1	2	1	1	5509980288
1	2	1	0	139206896986176
1	2	0	2	459165024
1	2	0	1	-1433972369952
1	2	0	0	-13201384156314120
0	4	0	0	-27549901440
0	3	1	0	-165299408640
0	3	0	1	-27549901440
0	3	0	0	22356745018560
0	2	2	0	2479491129600
0	2	1	1	-82649704320
0	2	1	0	-715705114559040
0	2	0	2	-6887475360
0	2	0	1	11178372509280
0	2	0	0	51628506689215800
