A	B	Y	Z	coefficient
43	0	0	0	5950967219778506853670244292207851962404800
42	1	0	0	3624371504120557856566145835667166101689600
42	0	1	0	872601549155933616695414143426756464576000
41	2	0	0	-9362381461528436180727945715454630803200
41	1	1	0	833062398089314682631346467908694302592000
41	0	2	0	-23710168422417590655616659955189748544000
40	1	2	0	47499497847690914803375603907705510784000
40	0	3	0	-4083549293655520387339772057183389440000
39	0	4	0	130326041286878310234248044378193280000
42	0	0	0	2436638049508320524036689207938182997378268800
41	1	0	0	1459304642469338873929737316391568877325882880
41	0	1	0	1456288053008175408624208456628580252206803200
41	0	0	1	-136570959519348862977616072899824781115342080
40	2	0	0	17083817574996677403483704355626718176808960
40	1	1	0	1003575038242330292048796173743170967252262400
40	1	0	1	-66524405335660336378473973025114807301788160
40	0	2	0	216297697818762686512143191672433190090972800
40	0	1	1	-25217361510309007903745627800078727868211200
39	3	0	0	-52832485807881092667518105046937494136320
39	2	1	0	3120100041612074187628468035511213927449600
39	2	0	1	187187280344394358800180480601496465157120
39	1	2	0	214178316623449011206035106040586295171712000
39	1	1	1	-15319188646383973952907187260016956985497600
39	0	3	0	3909427417614216959366727157039527538176000
39	0	2	1	-426621001148812998296348367817843991654400
38	2	2	0	159799738392919009666375569227524295462400
38	1	3	0	18478600643346947827811486266707973292544000
38	1	2	1	-874878089610852510489067918085493680793600
38	0	4	0	-920496167977400648123876111884427482752000
38	0	3	1	74745532923368867099944869525817236480000
37	1	4	0	564790906503632126462576968826553973248000
37	0	5	0	-22125339962386274669082672337175831040000
37	0	4	1	-229292971922909076846085637877505536000
36	0	6	0	1393731525084031392436591277774803200000
41	0	0	0	321064032875187119700412150635565620335994186528
40	1	0	0	182707573596397184366983050611071280691013997184
40	0	1	0	435556631410864222551384430436516996779061562240
40	0	0	1	-51201471920698536509959564102538618983067251200
39	2	0	0	6170694173478166712174038394259063515585329536
39	1	1	0	271271508245297263736962038376407159043862154240
39	1	0	1	-24724203595291338435194266652823334475693236224
39	0	2	0	171481041897330006090106266501098993131274828160
39	0	1	1	-33523293310145028488453195926061330544388154880
39	0	0	2	1435494085125052116417717388486259737160174592
38	3	0	0	39575099699854968088288250230886326528952832
38	2	1	0	4007113837359173305400761435311430511133596160
38	2	0	1	-288507893880615403380867708097831962143966208
38	1	2	0	125586100935530508191355790941303503127166337280
38	1	1	1	-17371934567232266380404296572895817334122071040
38	1	0	2	566667742495497164483836525584428027350185984
38	0	3	0	26177838959043059512809574946543759020750809600
38	0	2	1	-6031557081077723596684261387866976212667438080
38	0	1	2	312019538413397066136559097384701144985395200
37	4	0	0	-141020466555577165948415469509030057591808
37	3	1	0	5635523940551480906304358506631775143188480
37	3	0	1	993926268308529411226403027266548028071936
37	2	2	0	790924408930868783877193331227871783073692160
37	2	1	1	-50717036838438918983199267307373288161996800
37	2	0	2	-1745782028064798555060966112523002152557568
37	1	3	0	26163154328019194854693212280357943879642649600
37	1	2	1	-3736687323623404747088877615726925380158592000
37	1	1	2	130772748900111221851364259584310092910059520
37	0	4	0	1270683259754580717588144332051651060689728000
37	0	3	1	-321410993343438746323650126612389596639488000
37	0	2	2	14395544918886562072030134204071347288350720
36	3	2	0	257804648208064336207740984253568962713600
36	2	3	0	63677338139099493843175050299389040061081600
36	2	2	1	-2552577612025880924125557705833705813053440
36	1	4	0	2758727472144503363744485985871506666511897600
36	1	3	1	-323389424869155722384170420528294924859596800
36	1	2	2	7482261421187416579802782474251569001185280
36	0	5	0	-56773793114041417101736602488846238007296000
36	0	4	1	7350135190089611069005407617356412635852800
36	0	3	2	-356778513551680547999959282085610489446400
35	2	4	0	1832308359889478394205994081226618192076800
35	1	5	0	144695184884404191030876130194578087791104000
35	1	4	1	-9891114944466671230359610782894925584691200
35	0	6	0	-6007162458743334924549262883759536369920000
35	0	5	1	744181074563009627064957494851064143872000
35	0	4	2	-7931690606668183175112052763961933004800
34	1	6	0	3015460122794583660726301759382806118400000
34	0	7	0	-2413112548024849793929848732637900800000
34	0	6	1	-1284463275795938828334525015975505920000
33	0	8	0	6612208799151016387774500064237209600000
40	0	0	0	3016377536124689211664215673729776997130199792024
39	1	0	0	-170118083398333884449175961246609737729359364000
39	0	1	0	39389797101784160342261288079242085481205056393536
39	0	0	1	-5726594754207921227875537560514739690223836129184
38	2	0	0	542919754426382884848133624660127004538505537568
38	1	1	0	20847240572188802395352718475487616331469101481088
38	1	0	1	-2668875422470652097902319281749644137095376089728
38	0	2	0	35763263283183393231926351282849677939162342749888
38	0	1	1	-8744158533108503987267577784842188618375195835648
38	0	0	2	486730191143825308226823342017049122109960365568
37	3	0	0	6753055538738509488833993268599777033978975232
37	2	1	0	859127691491450621575230638289886085267020127232
37	2	0	1	-100280439772802239651141505558669591559676460928
37	1	2	0	22133673695662558756386537947426864880290373278592
37	1	1	1	-4267606604595815082922692463117748830087480951296
37	1	0	2	191778446559049671456856414944518943348103288320
37	0	3	0	12245089797855851100246058794283899581690680427520
37	0	2	1	-3826612925560034428006985109669574136138733182208
37	0	1	2	346078561427182593055201727734317409232476624896
37	0	0	3	-9186971756082879834393968925942600785542225920
36	4	0	0	130773671989606253291188874718563322048331776
36	3	1	0	4755431048611675823903508065749679434621756416
36	3	0	1	-560526941076058091513273169502697323396405248
36	2	2	0	383602537329782178688627640193130684148772903936
36	2	1	1	-65618654239422308764223716696470683089430814720
36	2	0	2	2243395515947092851005812879393959234839162880
36	1	3	0	9085651476584963722021992174297796517535956920320
36	1	2	1	-2035340267156076161920742296869441439166595024384
36	1	1	2	138398578109416585651063556471391028755725930496
36	1	0	3	-2974796506300921395480988939507616760166318080
36	0	4	0	1958395509355106013168209870080516016941795370880
36	0	3	1	-691440718255114409331793024228299112135037276160
36	0	2	2	71433485261748643489056820038447440430207270912
36	0	1	3	-2255035543397724259691813406333819482752057344
35	5	0	0	-377964067505587589263030037751429975951360
35	4	1	0	23989111869684354219093852320342694750609408
35	4	0	1	2378837813876431529492544911834567747825664
35	3	2	0	938868264572779531865993557161908442613644288
35	3	1	1	-65440335024540778810956465464289789119889408
35	3	0	2	-8675173913456479426047478197909123740743680
35	2	3	0	74809440383513627518945529620273198272851788800
35	2	2	1	-12870057680064204843153769317962739661922592768
35	2	1	2	375118561911886468946097681107404007030992896
35	2	0	3	10090279547034376379605885431309532968493056
35	1	4	0	1922842695512823867016232629760466393129078297600
35	1	3	1	-429954100897355519012796110392068119516003235840
35	1	2	2	30060594998886512315143376801252974018837923840
35	1	1	3	-688224283257999320164277362298555150930804736
35	0	5	0	138336899580795448263928696589999048554220083200
35	0	4	1	-53755538022203164912393288984174241028726950400
35	0	3	2	5517350438849276937154693071183903298432942080
35	0	2	3	-151431658969017239487176691560321026957934592
34	4	2	0	1153181364243778671105188179493566242158592
34	3	3	0	78692465087263197704646847449378906195824640
34	3	2	1	-2696272697786600355380683878929867617443840
34	2	4	0	7300182555642592091751786021837292252748605440
34	2	3	1	-1026100886887583674040777582225129111666565120
34	2	2	2	18419556615870932889900700545355603615266816
34	1	5	0	231359195150133818765695777571534682010753536000
34	1	4	1	-45652556309027385952619537339150209150873436160
34	1	3	2	2612269637528573914446887376760446778297958400
34	1	2	3	-39461507682714084500220047520189552578592768
34	0	6	0	657634591039551133008866086277079471512064000
34	0	5	1	-948150332249337348492515156487118377063936000
34	0	4	2	98302817503262395695623352235547074150440960
34	0	3	3	-1170668405220042853374015749375186559959040
33	3	4	0	2484928734985446681863571130213153671905280
33	2	5	0	351968866216517953878653584240399099175731200
33	2	4	1	-29165169775589031108009245153200369456250880
33	1	6	0	16066839238772390181631606192345422602201088000
33	1	5	1	-2402719959958557455755233889177489248243916800
33	1	4	2	80008471742127488608294654115853850027868160
33	0	7	0	-443972847995538906199129615928480008020480000
33	0	6	1	86783595891416743752750027349961509017600000
33	0	5	2	-4503990887363597190980175963268725429043200
33	0	4	3	45225788079564854211731282907559407452160
32	2	6	0	6705373103178840617595062262033116077056000
32	1	7	0	603016191754754626528627059828469553817600000
32	1	6	1	-50148474040203531159613905089698002388992000
32	0	8	0	-16925818350136671696381693385753208033280000
32	0	7	1	3444017161853790722659953592098199203840000
32	0	6	2	-86088262620577616322073932791778177024000
31	1	8	0	9519105255497698106884564402457157918720000
31	0	9	0	277698434807448867958760970153954201600000
31	0	8	1	-646961006364561599295341819514101760000
30	0	10	0	18264519647425016999637295014715392000000
39	0	0	0	-2567375449188306084572491537963668459342242728487505
38	1	0	0	-1580164302804518847040897757079589827336453994542828
38	0	1	0	-1524616440154604605374512065726703224735407768654744
38	0	0	1	84760257788312277402628073657697524649588305011440
37	2	0	0	-23244201421675996127578429421802788579760346776636
37	1	1	0	-1359554726577688881071279722162497382069867368661776
37	1	0	1	58282272988829214937547025715556159460338760576384
37	0	2	0	1672033491286229981937972500052480338508450048307464
37	0	1	1	-597440984264425670624515473512426558873269545479040
37	0	0	2	44158467894046141775575192358684660016089260023936
36	3	0	0	-874533640036036942812809115889472939452462631808
36	2	1	0	32549334376634223686066923572923354578541950301760
36	2	0	1	-7958960265355293416116841900074661933624909084352
36	1	2	0	588359718822419280739127266071174974978322042052656
36	1	1	1	-255108208050092168589169769504218329295041000097536
36	1	0	2	17101094308789092326668553771165774820551568688896
36	0	3	0	1663106551607583936710191442283529495875196218860448
36	0	2	1	-662431543760738529704201425572210974551701423273024
36	0	1	2	77854978724418900571149799201885914302235451831296
36	0	0	3	-2771474288478654411574338926394280023966619020288
35	4	0	0	2724763830304821306139153882111334283595501056
35	3	1	0	-523002967873492229651325085886950614416884587264
35	3	0	1	-98298331618356983201179043146653705298198544640
35	2	2	0	45903308962728981807565638491064288217322687480640
35	2	1	1	-13445759878927237479896321297930957903510233939968
35	2	0	2	742756863242822467686313055749119007386183124992
35	1	3	0	942603622742552510822010510005049215491630947313920
35	1	2	1	-316127430005476733012462939436019012536785250046464
35	1	1	2	30335354797122133666106096296327199090367850841088
35	1	0	3	-901118045138213483894433355107932608473091571712
35	0	4	0	569278204304629170037830295553283020567681715134832
35	0	3	1	-257172946988606417333136780770508816843918982768128
35	0	2	2	37602739037631817513054399411773617716946229202944
35	0	1	3	-2131715143240757492159384947764313248205614735360
35	0	0	4	40137598881952544062909072672251562917543979008
34	5	0	0	414391971367862562836532057962176193008863744
34	4	1	0	11081439987909090377565945739569081027488713728
34	4	0	1	-1726752883514058126074232402930336677799518208
34	3	2	0	-151483847605552726514491474161539826950767329792
34	3	1	1	-62956868118868939345037299912901536048403828736
34	3	0	2	3504678806887552059556577916458983857313904640
34	2	3	0	18597089043787140928231192833543352890802439281152
34	2	2	1	-6117800090408115994953033131222691604283063718144
34	2	1	2	491882549833671226078316865624448042232503977984
34	2	0	3	-10655238753152639614272200550694216578157916160
34	1	4	0	405820374494696069071093644940235340166947057357312
34	1	3	1	-136243494778624057989520362995087646718508490227712
34	1	2	2	15026405271542012124980339046760886863078176325632
34	1	1	3	-672683419450123161553377180922524628759454269440
34	1	0	4	10779922058573881102670307528982753068135899136
34	0	5	0	97651387064835875957951541458899331382421749899520
34	0	4	1	-48101145373446719541918299089352808446548501473024
34	0	3	2	7702175835406528232682425352409778282947227009024
34	0	2	3	-488931512113994386492959517259548114813693120512
34	0	1	4	10821366870076971603808324908053982222576402432
33	6	0	0	-1040194065525052812750626286027151118204928
33	5	1	0	72430731077609638067874639109937144493023232
33	5	0	1	5758214735802095284103853488229136886673408
33	4	2	0	3576788187440958742104966121691212837447861248
33	4	1	1	-308269755793857364125874475599311174117900288
33	4	0	2	-18374279713578747679152039474041230105645056
33	3	3	0	-25834744512693040022205744534182284009353007104
