FIRST-ORDER CHARACTER TABLE
dT_p preserves the relative weight c; ker(dF) kills c = -3a_i

n   d     src a  tgt a  src tangent      tgt tangent      kill   admissible c       max rank
5   0     1      0      [1, 2, 3, 4]     [1, 2, 3, 4]     0      None               None
5   0     2      0      [1, 2, 3, 4]     [1, 2, 3, 4]     0      None               None
5   0     3      0      [1, 2, 3, 4]     [1, 2, 3, 4]     0      None               None
5   0     4      0      [1, 2, 3, 4]     [1, 2, 3, 4]     0      None               None
5   1     1      1      [1, 2, 3, 4]     [1, 2, 3, 4]     2      [1, 3, 4]          3
5   1     2      2      [1, 2, 3, 4]     [1, 2, 3, 4]     4      [1, 2, 3]          3
5   1     3      3      [1, 2, 3, 4]     [1, 2, 3, 4]     1      [2, 3, 4]          3
5   1     4      4      [1, 2, 3, 4]     [1, 2, 3, 4]     3      [1, 2, 4]          3
5   2     1      2      [1, 2, 3, 4]     [1, 2, 3, 4]     4      [1, 2, 3]          3
5   2     2      4      [1, 2, 3, 4]     [1, 2, 3, 4]     3      [1, 2, 4]          3
5   2     3      1      [1, 2, 3, 4]     [1, 2, 3, 4]     2      [1, 3, 4]          3
5   2     4      3      [1, 2, 3, 4]     [1, 2, 3, 4]     1      [2, 3, 4]          3
5   3     1      3      [1, 2, 3, 4]     [1, 2, 3, 4]     1      [2, 3, 4]          3
5   3     2      1      [1, 2, 3, 4]     [1, 2, 3, 4]     2      [1, 3, 4]          3
5   3     3      4      [1, 2, 3, 4]     [1, 2, 3, 4]     3      [1, 2, 4]          3
5   3     4      2      [1, 2, 3, 4]     [1, 2, 3, 4]     4      [1, 2, 3]          3
5   4     1      4      [1, 2, 3, 4]     [1, 2, 3, 4]     3      [1, 2, 4]          3
5   4     2      3      [1, 2, 3, 4]     [1, 2, 3, 4]     1      [2, 3, 4]          3
5   4     3      2      [1, 2, 3, 4]     [1, 2, 3, 4]     4      [1, 2, 3]          3
5   4     4      1      [1, 2, 3, 4]     [1, 2, 3, 4]     2      [1, 3, 4]          3
6   0     1      0      [1, 3, 4, 5]     [1, 2, 4, 5]     0      None               None
6   0     5      0      [1, 2, 3, 5]     [1, 2, 4, 5]     0      None               None
6   1     1      1      [1, 3, 4, 5]     [1, 3, 4, 5]     3      [1, 4, 5]          3
6   1     5      5      [1, 2, 3, 5]     [1, 2, 3, 5]     3      [1, 2, 5]          3
6   2     1      2      [1, 3, 4, 5]     [2, 3, 4, 5]     0      None               None
6   2     5      4      [1, 2, 3, 5]     [1, 2, 3, 4]     0      None               None
6   3     1      3      [1, 3, 4, 5]     None             None   None               None
6   3     5      3      [1, 2, 3, 5]     None             None   None               None
6   4     1      4      [1, 3, 4, 5]     [1, 2, 3, 4]     0      None               None
6   4     5      2      [1, 2, 3, 5]     [2, 3, 4, 5]     0      None               None
6   5     1      5      [1, 3, 4, 5]     [1, 2, 3, 5]     3      [1, 5]             2
6   5     5      1      [1, 2, 3, 5]     [1, 3, 4, 5]     3      [1, 5]             2
11  0     1      0      [2, 3, 4, 8]     None             None   None               None
11  0     3      0      [1, 2, 6, 9]     None             None   None               None
11  0     4      0      [1, 5, 8, 10]    None             None   None               None
11  0     5      0      [4, 7, 9, 10]    None             None   None               None
11  0     9      0      [3, 5, 6, 7]     None             None   None               None
11  1     1      1      [2, 3, 4, 8]     [2, 3, 4, 8]     8      [2, 3, 4]          3
11  1     3      3      [1, 2, 6, 9]     [1, 2, 6, 9]     2      [1, 6, 9]          3
11  1     4      4      [1, 5, 8, 10]    [1, 5, 8, 10]    10     [1, 5, 8]          3
11  1     5      5      [4, 7, 9, 10]    [4, 7, 9, 10]    7      [4, 9, 10]         3
11  1     9      9      [3, 5, 6, 7]     [3, 5, 6, 7]     6      [3, 5, 7]          3
11  2     1      2      [2, 3, 4, 8]     None             None   None               None
11  2     3      6      [1, 2, 6, 9]     None             None   None               None
11  2     4      8      [1, 5, 8, 10]    None             None   None               None
11  2     5      10     [4, 7, 9, 10]    None             None   None               None
11  2     9      7      [3, 5, 6, 7]     None             None   None               None
11  3     1      3      [2, 3, 4, 8]     [1, 2, 6, 9]     2      []                 0
11  3     3      9      [1, 2, 6, 9]     [3, 5, 6, 7]     6      []                 0
11  3     4      1      [1, 5, 8, 10]    [2, 3, 4, 8]     8      []                 0
11  3     5      4      [4, 7, 9, 10]    [1, 5, 8, 10]    10     []                 0
11  3     9      5      [3, 5, 6, 7]     [4, 7, 9, 10]    7      []                 0
11  4     1      4      [2, 3, 4, 8]     [1, 5, 8, 10]    10     [8]                1
11  4     3      1      [1, 2, 6, 9]     [2, 3, 4, 8]     8      [2]                1
11  4     4      5      [1, 5, 8, 10]    [4, 7, 9, 10]    7      [10]               1
11  4     5      9      [4, 7, 9, 10]    [3, 5, 6, 7]     6      [7]                1
11  4     9      3      [3, 5, 6, 7]     [1, 2, 6, 9]     2      [6]                1
11  5     1      5      [2, 3, 4, 8]     [4, 7, 9, 10]    7      [4]                1
11  5     3      4      [1, 2, 6, 9]     [1, 5, 8, 10]    10     [1]                1
11  5     4      9      [1, 5, 8, 10]    [3, 5, 6, 7]     6      [5]                1
11  5     5      3      [4, 7, 9, 10]    [1, 2, 6, 9]     2      [9]                1
11  5     9      1      [3, 5, 6, 7]     [2, 3, 4, 8]     8      [3]                1
11  6     1      6      [2, 3, 4, 8]     None             None   None               None
11  6     3      7      [1, 2, 6, 9]     None             None   None               None
11  6     4      2      [1, 5, 8, 10]    None             None   None               None
11  6     5      8      [4, 7, 9, 10]    None             None   None               None
11  6     9      10     [3, 5, 6, 7]     None             None   None               None
11  7     1      7      [2, 3, 4, 8]     None             None   None               None
11  7     3      10     [1, 2, 6, 9]     None             None   None               None
11  7     4      6      [1, 5, 8, 10]    None             None   None               None
11  7     5      2      [4, 7, 9, 10]    None             None   None               None
11  7     9      8      [3, 5, 6, 7]     None             None   None               None
11  8     1      8      [2, 3, 4, 8]     None             None   None               None
11  8     3      2      [1, 2, 6, 9]     None             None   None               None
11  8     4      10     [1, 5, 8, 10]    None             None   None               None
11  8     5      7      [4, 7, 9, 10]    None             None   None               None
11  8     9      6      [3, 5, 6, 7]     None             None   None               None
11  9     1      9      [2, 3, 4, 8]     [3, 5, 6, 7]     6      [3]                1
11  9     3      5      [1, 2, 6, 9]     [4, 7, 9, 10]    7      [9]                1
11  9     4      3      [1, 5, 8, 10]    [1, 2, 6, 9]     2      [1]                1
11  9     5      1      [4, 7, 9, 10]    [2, 3, 4, 8]     8      [4]                1
11  9     9      4      [3, 5, 6, 7]     [1, 5, 8, 10]    10     [5]                1
11  10    1      10     [2, 3, 4, 8]     None             None   None               None
11  10    3      8      [1, 2, 6, 9]     None             None   None               None
11  10    4      7      [1, 5, 8, 10]    None             None   None               None
11  10    5      6      [4, 7, 9, 10]    None             None   None               None
11  10    9      2      [3, 5, 6, 7]     None             None   None               None
