RESIDUE TABLE  d mod 165 = lcm(3,5,11)
cols: d165 | d3 d5 d11 | C11 branch (#def/4) | C5 exact (#def/8) | C5 D10 (#def/2) | C3 (#def/8) | collapsed count | verdict

  0 | 0 0  0 | nonQR 2/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
  1 | 1 1  1 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
  2 | 2 2  2 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
  3 | 0 3  3 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
  4 | 1 4  4 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
  5 | 2 0  5 | QR    4/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
  6 | 0 1  6 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
  7 | 1 2  7 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
  8 | 2 3  8 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
  9 | 0 4  9 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 10 | 1 0 10 | nonQR 3/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 11 | 2 1  0 | nonQR 2/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 12 | 0 2  1 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 13 | 1 3  2 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 14 | 2 4  3 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 15 | 0 0  4 | QR    4/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 16 | 1 1  5 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 17 | 2 2  6 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 18 | 0 3  7 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 19 | 1 4  8 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 20 | 2 0  9 | QR    4/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 21 | 0 1 10 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 22 | 1 2  0 | nonQR 2/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 23 | 2 3  1 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 24 | 0 4  2 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 25 | 1 0  3 | QR    4/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 26 | 2 1  4 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 27 | 0 2  5 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 28 | 1 3  6 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 29 | 2 4  7 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 30 | 0 0  8 | nonQR 3/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 31 | 1 1  9 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 32 | 2 2 10 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 33 | 0 3  0 | nonQR 2/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 34 | 1 4  1 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 35 | 2 0  2 | nonQR 3/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 36 | 0 1  3 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 37 | 1 2  4 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 38 | 2 3  5 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 39 | 0 4  6 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 40 | 1 0  7 | nonQR 3/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 41 | 2 1  8 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 42 | 0 2  9 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 43 | 1 3 10 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 44 | 2 4  0 | nonQR 2/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 45 | 0 0  1 | QR    4/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 46 | 1 1  2 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 47 | 2 2  3 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 48 | 0 3  4 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 49 | 1 4  5 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 50 | 2 0  6 | nonQR 3/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 51 | 0 1  7 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 52 | 1 2  8 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 53 | 2 3  9 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 54 | 0 4 10 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 55 | 1 0  0 | nonQR 2/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 56 | 2 1  1 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 57 | 0 2  2 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 58 | 1 3  3 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
