F_odd(d mod 330)  shared-mu enumeration of the 22 immune rows
profile: min=2265760 max=58798784 typical=2492336  F_odd(35)=36252160
sharing-off A4 block target: 3^8 = 6561

    d   d6   d3   d5  d11        F_odd        F_off      H_imm_D10
    0    0    0    0    0     58798784         6561      676186016
    1    1    1    1    1      2492336         6561       28661864
    2    2    2    2    2      2265760         6561       26056240
    3    3    0    3    3      3674924         6561       42261626
    4    4    1    4    4      2492336         6561       28661864
    5    5    2    0    5     39877376         6561      458589824
    6    0    0    1    6      3340840         6561       38419660
    7    1    1    2    7      2265760         6561       26056240
    8    2    2    3    8      2265760         6561       26056240
    9    3    0    4    9      3674924         6561       42261626
   10    4    1    0   10     36252160         6561      416899840
   11    5    2    1    0      2492336         6561       28661864
   12    0    0    2    1      3674924         6561       42261626
   13    1    1    3    2      2265760         6561       26056240
   14    2    2    4    3      2492336         6561       28661864
   15    3    0    0    4     58798784         6561      676186016
   16    4    1    1    5      2492336         6561       28661864
   17    5    2    2    6      2265760         6561       26056240
   18    0    0    3    7      3340840         6561       38419660
   19    1    1    4    8      2265760         6561       26056240
   20    2    2    0    9     39877376         6561      458589824
   21    3    0    1   10      3340840         6561       38419660
   22    4    1    2    0      2492336         6561       28661864
   23    5    2    3    1      2492336         6561       28661864
   24    0    0    4    2      3340840         6561       38419660
   25    1    1    0    3     39877376         6561      458589824
   26    2    2    1    4      2492336         6561       28661864
   27    3    0    2    5      3674924         6561       42261626
   28    4    1    3    6      2265760         6561       26056240
   29    5    2    4    7      2265760         6561       26056240
   30    0    0    0    8     53453440         6561      614714560
   31    1    1    1    9      2492336         6561       28661864
   32    2    2    2   10      2265760         6561       26056240
   33    3    0    3    0      3674924         6561       42261626
   34    4    1    4    1      2492336         6561       28661864
   35    5    2    0    2     36252160         6561      416899840
   36    0    0    1    3      3674924         6561       42261626
   37    1    1    2    4      2492336         6561       28661864
   38    2    2    3    5      2492336         6561       28661864
   39    3    0    4    6      3340840         6561       38419660
   40    4    1    0    7     36252160         6561      416899840
   41    5    2    1    8      2265760         6561       26056240
   42    0    0    2    9      3674924         6561       42261626
   43    1    1    3   10      2265760         6561       26056240
   44    2    2    4    0      2492336         6561       28661864
   45    3    0    0    1     58798784         6561      676186016
   46    4    1    1    2      2265760         6561       26056240
   47    5    2    2    3      2492336         6561       28661864
   48    0    0    3    4      3674924         6561       42261626
   49    1    1    4    5      2492336         6561       28661864
   50    2    2    0    6     36252160         6561      416899840
   51    3    0    1    7      3340840         6561       38419660
   52    4    1    2    8      2265760         6561       26056240
   53    5    2    3    9      2492336         6561       28661864
   54    0    0    4   10      3340840         6561       38419660
   55    1    1    0    0     39877376         6561      458589824
   56    2    2    1    1      2492336         6561       28661864
   57    3    0    2    2      3340840         6561       38419660
   58    4    1    3    3      2492336         6561       28661864
   59    5    2    4    4      2492336         6561       28661864
   60    0    0    0    5     58798784         6561      676186016
   61    1    1    1    6      2265760         6561       26056240
   62    2    2    2    7      2265760         6561       26056240
   63    3    0    3    8      3340840         6561       38419660
   64    4    1    4    9      2492336         6561       28661864
   65    5    2    0   10     36252160         6561      416899840
   66    0    0    1    0      3674924         6561       42261626
   67    1    1    2    1      2492336         6561       28661864
   68    2    2    3    2      2265760         6561       26056240
   69    3    0    4    3      3674924         6561       42261626
   70    4    1    0    4     39877376         6561      458589824
   71    5    2    1    5      2492336         6561       28661864
   72    0    0    2    6      3340840         6561       38419660
   73    1    1    3    7      2265760         6561       26056240
   74    2    2    4    8      2265760         6561       26056240
   75    3    0    0    9     58798784         6561      676186016
   76    4    1    1   10      2265760         6561       26056240
   77    5    2    2    0      2492336         6561       28661864
   78    0    0    3    1      3674924         6561       42261626
   79    1    1    4    2      2265760         6561       26056240
   80    2    2    0    3     39877376         6561      458589824
   81    3    0    1    4      3674924         6561       42261626
   82    4    1    2    5      2492336         6561       28661864
   83    5    2    3    6      2265760         6561       26056240
   84    0    0    4    7      3340840         6561       38419660
   85    1    1    0    8     36252160         6561      416899840
   86    2    2    1    9      2492336         6561       28661864
   87    3    0    2   10      3340840         6561       38419660
   88    4    1    3    0      2492336         6561       28661864
   89    5    2    4    1      2492336         6561       28661864
   90    0    0    0    2     53453440         6561      614714560
   91    1    1    1    3      2492336         6561       28661864
   92    2    2    2    4      2492336         6561       28661864
   93    3    0    3    5      3674924         6561       42261626
   94    4    1    4    6      2265760         6561       26056240
   95    5    2    0    7     36252160         6561      416899840
   96    0    0    1    8      3340840         6561       38419660
   97    1    1    2    9      2492336         6561       28661864
   98    2    2    3   10      2265760         6561       26056240
   99    3    0    4    0      3674924         6561       42261626
  100    4    1    0    1     39877376         6561      458589824
  101    5    2    1    2      2265760         6561       26056240
  102    0    0    2    3      3674924         6561       42261626
  103    1    1    3    4      2492336         6561       28661864
  104    2    2    4    5      2492336         6561       28661864
  105    3    0    0    6     53453440         6561      614714560
  106    4    1    1    7      2265760         6561       26056240
  107    5    2    2    8      2265760         6561       26056240
  108    0    0    3    9      3674924         6561       42261626
  109    1    1    4   10      2265760         6561       26056240
  110    2    2    0    0     39877376         6561      458589824
  111    3    0    1    1      3674924         6561       42261626
  112    4    1    2    2      2265760         6561       26056240
  113    5    2    3    3      2492336         6561       28661864
  114    0    0    4    4      3674924         6561       42261626
  115    1    1    0    5     39877376         6561      458589824
  116    2    2    1    6      2265760         6561       26056240
  117    3    0    2    7      3340840         6561       38419660
  118    4    1    3    8      2265760         6561       26056240
  119    5    2    4    9      2492336         6561       28661864
  120    0    0    0   10     53453440         6561      614714560
  121    1    1    1    0      2492336         6561       28661864
  122    2    2    2    1      2492336         6561       28661864
  123    3    0    3    2      3340840         6561       38419660
