FIX-P1  STAGE 1  --  THE PROFILE SIEVE
==============================================================================

Corollary of (C2)+(C3):  d >= 3r+2, i.e. r <= (d-2)/3.

Legend: e=r-m, n=d-r (the line degree of the leading datum
        Lambda in H^0(ell_V,O(n)) (x) V_m, Lambda != 0).
        ord window = [2e, floor(n/3)] : H1-1(a) forces the
        lower end, Lambda != 0 the upper.
        EVASION = lambda_{2e} may vanish  <=>  n >= 6e+3.

  d | (m, r) |  e |  n | cell        | ord window | evasion | D_B channel
-------------------------------------------------------------------------
 20 | -- no admissible profile --
 21 | -- no admissible profile --
 22 | -- no admissible profile --
 23 | -- no admissible profile --
 24 | (3, 6) |  3 | 18 | POPULATED   | [ 6,  6]   | no      | DEAD (FIX-H1-EQ-M3-EMPTY, non-evasive)
 25 | (3, 6) |  3 | 19 | POPULATED   | [ 6,  6]   | no      | NO MEMBER (n not divisible by 3)
 26 | (3, 6) |  3 | 20 | POPULATED   | [ 6,  6]   | no      | NO MEMBER (n not divisible by 3)
 27 | (3, 6) |  3 | 21 | POPULATED   | [ 6,  7]   | YES     | DEAD (FIX-H1-EQ-M3-EMPTY, non-evasive)
 28 | (3, 6) |  3 | 22 | POPULATED   | [ 6,  7]   | YES     | NO MEMBER (n not divisible by 3)
 29 | (3, 6) |  3 | 23 | POPULATED   | [ 6,  7]   | YES     | NO MEMBER (n not divisible by 3)
 30 | (3, 6) |  3 | 24 | POPULATED   | [ 6,  8]   | YES     | DEAD (FIX-H1-EQ-M3-EMPTY, non-evasive)
 31 | (3, 6) |  3 | 25 | POPULATED   | [ 6,  8]   | YES     | NO MEMBER (n not divisible by 3)
 31 | (3, 7) |  4 | 24 | OPEN        | [ 8,  8]   | no      | n/a (no classified positive-line-degree family)
 32 | (3, 6) |  3 | 26 | POPULATED   | [ 6,  8]   | YES     | NO MEMBER (n not divisible by 3)
 32 | (3, 7) |  4 | 25 | OPEN        | [ 8,  8]   | no      | n/a (no classified positive-line-degree family)
 33 | (3, 6) |  3 | 27 | POPULATED   | [ 6,  9]   | YES     | ALIVE (n3-divisible evasion sub-family)
 33 | (3, 7) |  4 | 26 | OPEN        | [ 8,  8]   | no      | n/a (no classified positive-line-degree family)
 33 | (5, 9) |  4 | 24 | POPULATED   | [ 8,  8]   | no      | n/a (no classified positive-line-degree family)
 34 | (3, 6) |  3 | 28 | POPULATED   | [ 6,  9]   | YES     | NO MEMBER (n not divisible by 3)
 34 | (3, 7) |  4 | 27 | OPEN        | [ 8,  9]   | YES     | n/a (no classified positive-line-degree family)
 34 | (5, 9) |  4 | 25 | POPULATED   | [ 8,  8]   | no      | n/a (no classified positive-line-degree family)
 35 | (3, 6) |  3 | 29 | POPULATED   | [ 6,  9]   | YES     | NO MEMBER (n not divisible by 3)
 35 | (3, 7) |  4 | 28 | OPEN        | [ 8,  9]   | YES     | n/a (no classified positive-line-degree family)
 35 | (5, 9) |  4 | 26 | POPULATED   | [ 8,  8]   | no      | n/a (no classified positive-line-degree family)
 36 | (1, 6) |  5 | 30 | OPEN        | [10, 10]   | no      | n/a (no classified positive-line-degree family)
 36 | (3, 6) |  3 | 30 | POPULATED   | [ 6, 10]   | YES     | ALIVE (n3-divisible evasion sub-family)
 36 | (3, 7) |  4 | 29 | OPEN        | [ 8,  9]   | YES     | n/a (no classified positive-line-degree family)
 36 | (5, 9) |  4 | 27 | POPULATED   | [ 8,  9]   | YES     | n/a (no classified positive-line-degree family)
 37 | (1, 6) |  5 | 31 | OPEN        | [10, 10]   | no      | n/a (no classified positive-line-degree family)
 37 | (3, 6) |  3 | 31 | POPULATED   | [ 6, 10]   | YES     | NO MEMBER (n not divisible by 3)
 37 | (3, 7) |  4 | 30 | OPEN        | [ 8, 10]   | YES     | n/a (no classified positive-line-degree family)
 37 | (5, 9) |  4 | 28 | POPULATED   | [ 8,  9]   | YES     | n/a (no classified positive-line-degree family)
 38 | (1, 6) |  5 | 32 | OPEN        | [10, 10]   | no      | n/a (no classified positive-line-degree family)
 38 | (3, 6) |  3 | 32 | POPULATED   | [ 6, 10]   | YES     | NO MEMBER (n not divisible by 3)
 38 | (3, 7) |  4 | 31 | OPEN        | [ 8, 10]   | YES     | n/a (no classified positive-line-degree family)
 38 | (3, 8) |  5 | 30 | POPULATED   | [10, 10]   | no      | n/a (no classified positive-line-degree family)
 38 | (5, 9) |  4 | 29 | POPULATED   | [ 8,  9]   | YES     | n/a (no classified positive-line-degree family)
 39 | (1, 6) |  5 | 33 | OPEN        | [10, 11]   | YES     | n/a (no classified positive-line-degree family)
 39 | (3, 6) |  3 | 33 | POPULATED   | [ 6, 11]   | YES     | ALIVE (n3-divisible evasion sub-family)
 39 | (3, 7) |  4 | 32 | OPEN        | [ 8, 10]   | YES     | n/a (no classified positive-line-degree family)
 39 | (3, 8) |  5 | 31 | POPULATED   | [10, 10]   | no      | n/a (no classified positive-line-degree family)
 39 | (5, 9) |  4 | 30 | POPULATED   | [ 8, 10]   | YES     | n/a (no classified positive-line-degree family)
 40 | (1, 6) |  5 | 34 | OPEN        | [10, 11]   | YES     | n/a (no classified positive-line-degree family)
 40 | (3, 6) |  3 | 34 | POPULATED   | [ 6, 11]   | YES     | NO MEMBER (n not divisible by 3)
 40 | (3, 7) |  4 | 33 | OPEN        | [ 8, 11]   | YES     | n/a (no classified positive-line-degree family)
