A	B	Y	Z	u	coefficient
12	0	0	0	0	377013602900
11	0	0	0	0	10957421839716
10	1	0	0	0	2185519109400
10	0	1	0	0	11143830020400
9	0	2	0	0	994456504800
10	0	0	1	0	-2479837258800
10	0	0	0	0	-1436178504139659
9	1	0	0	0	16619235916536
8	2	0	0	0	4473807584400
9	0	1	0	0	-199710355265064
8	1	1	0	0	39996719136000
8	0	2	0	0	93237127419312
7	1	2	0	0	3894616598400
7	0	3	0	0	15873137524800
6	0	4	0	0	655774574400
9	0	0	1	0	-14229374479632
8	1	0	1	0	-13133719209600
8	0	1	1	0	-48490204824000
7	0	2	1	0	-4379490244800
8	0	0	2	0	6451652235600
9	0	0	0	0	3476785178050452
8	1	0	0	0	-5900607861758838
7	2	0	0	0	-51982170152184
6	3	0	0	0	3694430282400
8	0	1	0	0	-27496978675964856
7	1	1	0	0	-1644231641212512
6	2	1	0	0	34011867081600
7	0	2	0	0	-8030327868527616
6	1	2	0	0	61000766909856
5	2	2	0	0	4257858052800
6	0	3	0	0	-553479093309888
5	1	3	0	0	27043686172800
5	0	4	0	0	11370876028416
4	1	4	0	0	1334979792000
4	0	5	0	0	1550957414400
8	0	0	1	0	6847823847141252
7	1	0	1	0	84081597535296
6	2	0	1	0	-24081807578400
7	0	1	1	0	1776087317501856
6	1	1	1	0	-148549406587200
6	0	2	1	0	-142223737794912
5	1	2	1	0	-14881103827200
5	0	3	1	0	-36789322089600
4	0	4	1	0	-1462525632000
7	0	0	2	0	-76602711010896
6	1	0	2	0	29995200136800
6	0	1	2	0	71707268520000
5	0	2	2	0	6623691667200
6	0	0	3	0	-8422607059200
8	0	0	0	0	1909003241665009575
7	1	0	0	0	124464279412518336
6	2	0	0	0	-5559657198891552
5	3	0	0	0	-93952812881664
4	4	0	0	0	1002628400400
7	0	1	0	0	1198663849541950416
6	1	1	0	0	-24350780139841728
5	2	1	0	0	-2478416827995792
4	3	1	0	0	-4561322673600
6	0	2	0	0	134383170372881760
5	1	2	0	0	-15682216825813824
4	2	2	0	0	-220367988298368
3	3	2	0	0	881483472000
5	0	3	0	0	-9583647382755648
4	1	3	0	0	-1789960768252416
3	2	3	0	0	-5862006806400
4	0	4	0	0	-1973032210164672
3	1	4	0	0	-65536113692160
2	2	4	0	0	153055008000
3	0	5	0	0	-75322654977024
2	1	5	0	0	-367332019200
2	0	6	0	0	-881596846080
7	0	0	1	0	-135444987854043480
6	1	0	1	0	21273511530814632
5	2	0	1	0	373259377660464
4	3	0	1	0	-16981358659200
6	0	1	1	0	40345105683590208
5	1	1	1	0	7220939792182560
4	2	1	1	0	-95053962412800
5	0	2	1	0	18644750989175232
4	1	2	1	0	168340373563392
3	2	2	1	0	-13332791808000
4	0	3	1	0	1432631812155264
3	1	3	1	0	-43120697587200
3	0	4	1	0	-10893435102720
2	1	4	1	0	-2142770112000
2	0	5	1	0	-2938656153600
6	0	0	2	0	-9927182979725148
