# FIX-VII-GATE candidate 6, p=67: degree-34 G-equivariant tuple
# (1,6)-profile along the arrangement AND vanishing on the Hessian curve C_20
# format: <component 0..4> <e0 e1 e2 e3 e4> <coefficient>
0 32 1 1 0 0 6
0 31 0 1 0 2 15
0 30 2 2 0 0 26
0 30 2 0 1 1 31
0 30 0 3 1 0 60
0 30 0 1 2 1 51
0 29 2 0 3 0 63
0 29 1 2 0 2 19
0 29 1 0 1 3 1
0 29 0 1 4 0 53
0 28 5 0 0 1 59
0 28 3 3 0 0 44
0 28 3 1 1 1 18
0 28 1 4 1 0 52
0 28 1 2 2 1 44
0 28 1 0 3 2 27
0 28 0 2 0 4 7
0 28 0 0 1 5 37
0 27 5 0 2 0 6
0 27 4 0 0 3 29
0 27 3 1 3 0 10
0 27 2 3 0 2 38
0 27 2 1 1 3 53
0 27 1 2 4 0 5
0 27 1 0 5 1 34
0 27 0 6 0 1 32
0 27 0 4 1 2 58
0 27 0 2 2 3 64
0 27 0 0 3 4 7
0 26 6 1 0 1 55
0 26 4 4 0 0 33
0 26 4 2 1 1 18
0 26 4 0 2 2 16
0 26 3 0 0 5 7
0 26 2 5 1 0 53
0 26 2 3 2 1 43
0 26 2 1 3 2 28
0 26 1 3 0 4 28
0 26 1 1 1 5 22
0 26 1 0 7 0 55
0 26 0 6 2 0 30
0 26 0 4 3 1 35
0 26 0 2 4 2 42
0 26 0 0 5 3 12
0 25 8 0 1 0 26
0 25 6 1 2 0 18
0 25 5 1 0 3 31
0 25 4 2 3 0 5
0 25 4 0 4 1 10
0 25 3 4 0 2 37
0 25 3 2 1 3 18
0 25 3 0 2 4 4
0 25 2 3 4 0 47
0 25 2 1 5 1 53
0 25 2 0 0 7 45
0 25 1 7 0 1 37
0 25 1 5 1 2 12
0 25 1 3 2 3 2
0 25 1 1 3 4 8
0 25 0 4 5 0 37
0 25 0 3 0 6 66
0 25 0 2 6 1 30
0 25 0 1 1 7 50
0 25 0 0 7 2 46
0 24 7 0 1 2 25
0 24 5 5 0 0 49
0 24 5 3 1 1 6
0 24 5 1 2 2 24
0 24 4 1 0 5 61
0 24 4 0 6 0 42
0 24 3 6 1 0 38
