# FIX-N2 payload: cell dimensions (dim a', dim b', dim u0', dim u1', dim u2')
# cell (m,r): degree r in (x,y,z), all exponents <= r-m.

m=1 r=2   dims=(0,0,1,1,1)  total=3   <- bottom cell r=ceil(3m/2)
m=1 r=3   dims=(1,1,2,2,2)  total=8
m=1 r=4   dims=(3,3,3,3,3)  total=15
m=1 r=5   dims=(3,3,5,5,5)  total=21
m=1 r=6   dims=(7,7,6,6,6)  total=32
m=1 r=7   dims=(6,6,9,9,9)  total=39
m=1 r=8   dims=(12,12,10,10,10)  total=54
m=1 r=9   dims=(10,10,14,14,14)  total=62
m=1 r=10  dims=(18,18,15,15,15)  total=81
m=1 r=11  dims=(15,15,20,20,20)  total=90
m=1 r=12  dims=(25,25,21,21,21)  total=113
m=1 r=13  dims=(21,21,27,27,27)  total=123
m=1 r=14  dims=(33,33,28,28,28)  total=150
m=1 r=15  dims=(28,28,35,35,35)  total=161

m=2 r=3   dims=(1,1,0,0,0)  total=2   <- bottom cell r=ceil(3m/2)
m=2 r=4   dims=(3,3,1,1,1)  total=9
m=2 r=5   dims=(3,3,3,3,3)  total=15
m=2 r=6   dims=(7,7,4,4,4)  total=26
m=2 r=7   dims=(6,6,7,7,7)  total=33
m=2 r=8   dims=(12,12,8,8,8)  total=48
m=2 r=9   dims=(10,10,12,12,12)  total=56
m=2 r=10  dims=(18,18,13,13,13)  total=75
m=2 r=11  dims=(15,15,18,18,18)  total=84
m=2 r=12  dims=(25,25,19,19,19)  total=107
m=2 r=13  dims=(21,21,25,25,25)  total=117
m=2 r=14  dims=(33,33,26,26,26)  total=144
m=2 r=15  dims=(28,28,33,33,33)  total=155

m=3 r=5   dims=(0,0,1,1,1)  total=3   <- bottom cell r=ceil(3m/2)
m=3 r=6   dims=(1,1,3,3,3)  total=11
m=3 r=7   dims=(3,3,5,5,5)  total=21
m=3 r=8   dims=(6,6,7,7,7)  total=33
m=3 r=9   dims=(7,7,10,10,10)  total=44
m=3 r=10  dims=(12,12,12,12,12)  total=60
m=3 r=11  dims=(12,12,16,16,16)  total=72
m=3 r=12  dims=(19,19,18,18,18)  total=92
m=3 r=13  dims=(18,18,23,23,23)  total=105
m=3 r=14  dims=(27,27,25,25,25)  total=129
m=3 r=15  dims=(25,25,31,31,31)  total=143

m=4 r=6   dims=(1,1,0,0,0)  total=2   <- bottom cell r=ceil(3m/2)
m=4 r=7   dims=(3,3,1,1,1)  total=9
m=4 r=8   dims=(6,6,3,3,3)  total=21
m=4 r=9   dims=(7,7,6,6,6)  total=32
m=4 r=10  dims=(12,12,8,8,8)  total=48
m=4 r=11  dims=(12,12,12,12,12)  total=60
m=4 r=12  dims=(19,19,14,14,14)  total=80
m=4 r=13  dims=(18,18,19,19,19)  total=93
m=4 r=14  dims=(27,27,21,21,21)  total=117
m=4 r=15  dims=(25,25,27,27,27)  total=131

m=5 r=8   dims=(0,0,1,1,1)  total=3   <- bottom cell r=ceil(3m/2)
m=5 r=9   dims=(1,1,3,3,3)  total=11
m=5 r=10  dims=(3,3,6,6,6)  total=24
m=5 r=11  dims=(6,6,9,9,9)  total=39
m=5 r=12  dims=(10,10,12,12,12)  total=56
m=5 r=13  dims=(12,12,16,16,16)  total=72
m=5 r=14  dims=(18,18,19,19,19)  total=93
m=5 r=15  dims=(19,19,24,24,24)  total=110

m=6 r=9   dims=(1,1,0,0,0)  total=2   <- bottom cell r=ceil(3m/2)
m=6 r=10  dims=(3,3,1,1,1)  total=9
m=6 r=11  dims=(6,6,3,3,3)  total=21
m=6 r=12  dims=(10,10,6,6,6)  total=38
m=6 r=13  dims=(12,12,10,10,10)  total=54
m=6 r=14  dims=(18,18,13,13,13)  total=75
m=6 r=15  dims=(19,19,18,18,18)  total=92

m=7 r=11  dims=(0,0,1,1,1)  total=3   <- bottom cell r=ceil(3m/2)
m=7 r=12  dims=(1,1,3,3,3)  total=11
m=7 r=13  dims=(3,3,6,6,6)  total=24
m=7 r=14  dims=(6,6,10,10,10)  total=42
m=7 r=15  dims=(10,10,14,14,14)  total=62

