row	column	A	B	Y	Z	u	coefficient
0	0	13	0	0	0	0	207583763415869676084480000000000
0	0	12	1	0	0	0	842865041209846343040000000000
0	0	12	0	1	0	0	14436498918472499151360000000000
0	0	12	0	0	0	0	-6290285226777847155753446400000000
0	0	11	1	0	0	1	51116502698512096346265600000000
0	0	11	1	0	0	0	2274009727848281866253606400000000
0	0	11	0	2	0	0	-935073697490122291200000000000
0	0	11	0	1	0	0	5014255292352493273045555200000000
0	0	11	0	0	1	0	-1281720668685386120497152000000000
0	0	11	0	0	0	0	-725039933789814422091520158720000000
0	0	10	2	0	0	0	1783792641200839632000000000000
0	0	10	1	1	0	1	5698064243889453984768000000000
0	0	10	1	1	0	0	411009019233257158255872000000000
0	0	10	1	0	1	0	-3982785916734979833600000000000
0	0	10	1	0	0	1	-5674389554167543168427888640000000
0	0	10	1	0	0	0	-141836946092181544533372172800000000
0	0	10	0	2	0	0	707712924175238564047872000000000
0	0	10	0	1	1	0	-178523800669786822576128000000000
0	0	10	0	1	0	0	-399040259544025990680237465600000000
0	0	10	0	0	1	0	83545790351992430253759221760000000
0	0	10	0	0	0	0	40490375654045089216857016581120000000
0	0	9	2	0	0	2	-103625704535285940480000000000
0	0	9	2	0	0	1	199042405300344293111001600000000
0	0	9	2	0	0	0	6330159834958251190679616000000000
0	0	9	1	2	0	0	17140127960941219745280000000000
0	0	9	1	1	0	1	157888358324826183551692800000000
0	0	9	1	1	0	0	16557804059934146724165749760000000
0	0	9	1	0	1	1	-133129119775411485938995200000000
0	0	9	1	0	1	0	-8583719157327628786944384000000000
0	0	9	1	0	0	1	82262518465411213608534653952000000
0	0	9	1	0	0	0	-2078168994551984084060608590336000000
0	0	9	0	3	0	0	3511845466824629975040000000000
0	0	9	0	2	1	0	-4129428925146705776640000000000
0	0	9	0	2	0	0	5208435553849957633658572800000000
0	0	9	0	1	1	0	-9567701887788474149679759360000000
0	0	9	0	1	0	0	-124834104919482016011668656128000000
0	0	9	0	0	2	0	2424959788872395473560576000000000
0	0	9	0	0	1	0	672163362744524504278587537408000000
0	0	9	0	0	0	0	-27459021799478860857785602169856000000
0	0	8	3	0	0	0	-6530175753596493672960000000000
0	0	8	2	1	0	1	21047934710568259334016000000000
0	0	8	2	1	0	0	1337957350680558613851648000000000
0	0	8	2	0	1	0	-10718218013231711093760000000000
0	0	8	2	0	0	2	-512597428192251145659801600000000
0	0	8	2	0	0	1	-35331076691649134597555228160000000
0	0	8	2	0	0	0	-547067136802743332662948047360000000
0	0	8	1	2	0	1	153767384093354077307289600000000
0	0	8	1	2	0	0	8669385445318534389333196800000000
0	0	8	1	1	1	1	-14880358927136046845952000000000
0	0	8	1	1	1	0	-1635210265468567659936768000000000
0	0	8	1	1	0	1	-110895582800821096958912686080000000
0	0	8	1	1	0	0	-4266448637463117070549483502592000000
0	0	8	1	0	2	0	6835193469145096450560000000000
0	0	8	1	0	1	1	22594253520878702318410444800000000
0	0	8	1	0	1	0	760673895328582875377336079360000000
0	0	8	1	0	0	1	11807390998269015182405007989760000000
0	0	8	1	0	0	0	416608122494014635197620332329472000000
0	0	8	0	4	0	0	-1233231525048031027200000000000
0	0	8	0	3	0	0	6772618982611624315568947200000000
0	0	8	0	2	1	0	-3914350493636959845319065600000000
0	0	8	0	2	0	0	-4365812267481335397923000217600000000
0	0	8	0	1	2	0	417616561298212773894144000000000
0	0	8	0	1	1	0	2143530795544699816664476987392000000
0	0	8	0	1	0	0	826607534157923627217148099209216000000
0	0	8	0	0	2	0	-222889262253881960225875415040000000
0	0	8	0	0	1	0	-214790859677324106240021061429248000000
0	0	8	0	0	0	0	-48394163176076307439263293401724928000000
0	0	7	3	0	0	2	488589608440639411200000000000
0	0	7	3	0	0	1	243898272916307448573657600000000
0	0	7	3	0	0	0	5634891072856817609457945600000000
0	0	7	2	2	0	0	70992070106424906447360000000000
0	0	7	2	1	0	2	-117512280521037590082048000000000
0	0	7	2	1	0	1	-5725222220470619979061171200000000
0	0	7	2	1	0	0	-56577651432693406323674572800000000
0	0	7	2	0	1	2	402367912833467750400000000000
0	0	7	2	0	1	1	-434426838340496408139110400000000
0	0	7	2	0	1	0	-16548769129194831847268966400000000
0	0	7	2	0	0	2	46252536408463304728436981760000000
0	0	7	2	0	0	1	1928884794034455015694907406336000000
0	0	7	2	0	0	0	13039164023022781967857189404672000000
0	0	7	1	3	0	1	8481288535652357111808000000000
0	0	7	1	3	0	0	796677493739916142126080000000000
0	0	7	1	2	1	0	-73317704387029254789120000000000
0	0	7	1	2	0	1	-18235338727856974164388823040000000
0	0	7	1	2	0	0	-732430905191034320098993397760000000
0	0	7	1	1	1	1	3376209562007600148830208000000000
0	0	7	1	1	1	0	77960143374914137288067297280000000
0	0	7	1	1	0	1	7185028036318342813523312510976000000
0	0	7	1	1	0	0	191041036823954744971403851284480000000
0	0	7	1	0	2	1	83395095663026120411750400000000
0	0	7	1	0	2	0	10158743022952843763252582400000000
0	0	7	1	0	1	1	-1275179047724994902610530623488000000
0	0	7	1	0	1	0	-21304301408737631886762860654592000000
0	0	7	1	0	0	1	-645586445532580826466688667043840000000
0	0	7	1	0	0	0	-13915042485384809931449886595206144000000
0	0	7	0	4	0	0	298545286074059733553152000000000
0	0	7	0	3	1	0	-297395663465964111409152000000000
0	0	7	0	3	0	0	-469311513057005796014015692800000000
0	0	7	0	2	2	0	16679978932005572198400000000000
0	0	7	0	2	1	0	321875237865415570875228856320000000
0	0	7	0	2	0	0	198102869974146881179093623939072000000
0	0	7	0	1	2	0	-23407625425559314533617295360000000
0	0	7	0	1	1	0	-97346844696403079841196263702528000000
0	0	7	0	1	0	0	-29941742166105766590852994801004544000000
0	0	7	0	0	3	0	-1685273306969458863968256000000000
0	0	7	0	0	2	0	7260096408511930611314165157888000000
0	0	7	0	0	1	0	7764928595189476244565450435624960000000
0	0	7	0	0	0	0	1483797518725898560128313323520456704000000
0	0	6	4	0	0	0	-21760831850368182232320000000000
0	0	6	3	1	0	1	25675815032033636916864000000000
0	0	6	3	1	0	0	1135357080499958489496576000000000
0	0	6	3	0	1	0	7593257326471584261120000000000
0	0	6	3	0	0	2	-1050144791863448388126412800000000
0	0	6	3	0	0	1	-50217363986018667078406233600000000
0	0	6	3	0	0	0	-565842411650236165722962150400000000
0	0	6	2	2	0	2	-6659450235259367546880000000000
0	0	6	2	2	0	1	-296891350155579109602355200000000
0	0	6	2	2	0	0	8294863841871824976685977600000000
0	0	6	2	1	1	1	-45267592071946312797696000000000
0	0	6	2	1	1	0	-3537813602919493764725760000000000
0	0	6	2	1	0	2	7169433850136508628879872000000000
0	0	6	2	1	0	1	171787773417749556480198466560000000
0	0	6	2	1	0	0	-3787767676315703161389937305600000000
0	0	6	2	0	2	0	19060481564359938869760000000000
0	0	6	2	0	1	2	277977586563798719745945600000000
0	0	6	2	0	1	1	65510635809083421019117824000000000
0	0	6	2	0	1	0	1584462857821522407559348531200000000
0	0	6	2	0	0	2	-1541455520130450111292747665408000000
0	0	6	2	0	0	1	-33767667278175723772592848177152000000
0	0	6	2	0	0	0	306019556569534105791871280584704000000
0	0	6	1	4	0	0	23458571873922122403840000000000
0	0	6	1	3	0	1	-473421571358342725040947200000000
0	0	6	1	3	0	0	-29722437509013300714006896640000000
0	0	6	1	2	1	1	150385435917207952807526400000000
0	0	6	1	2	1	0	-6338207615598008135702323200000000
0	0	6	1	2	0	1	562046650435052845582662438912000000
0	0	6	1	2	0	0	12601600245448430067664212787200000000
0	0	6	1	1	2	1	9423142985121243181056000000000
0	0	6	1	1	2	0	2016058365605611113735168000000000
0	0	6	1	1	1	1	-121663034845388600634258186240000000
0	0	6	1	1	1	0	2822445715495580147514587295744000000
0	0	6	1	1	0	1	-164940593267575329723415585548288000000
0	0	6	1	1	0	0	-2230433054422580322947657801723904000000
0	0	6	1	0	3	0	-5232698904515240125440000000000
0	0	6	1	0	2	1	-13930058425025738718488494080000000
0	0	6	1	0	2	0	-950068597420143869436516464640000000
0	0	6	1	0	1	1	28163676685871894671336814125056000000
0	0	6	1	0	1	0	-123745945721113977981708141305856000000
0	0	6	1	0	0	1	12586161881082999022155072272222208000000
0	0	6	1	0	0	0	129251904893225930093385688242951168000000
0	0	6	0	5	0	0	-3310913111315391774720000000000
0	0	6	0	4	1	0	-8126786727774143447040000000000
0	0	6	0	4	0	0	-1516105490164199049321676800000000
0	0	6	0	3	1	0	10669268861281292001522647040000000
0	0	6	0	3	0	0	5303071298805666732209915707392000000
0	0	6	0	2	2	0	1048020216125885345046528000000000
0	0	6	0	2	1	0	-5690864035068770886744853831680000000
0	0	6	0	2	0	0	-2195842462539735119272344384086016000000
0	0	6	0	1	3	0	-314723750852545773133824000000000
0	0	6	0	1	2	0	-358445734692189432898108612608000000
0	0	6	0	1	1	0	1319301553643362306444129384366080000000
0	0	6	0	1	0	0	306205391516084841563479065174220800000000
0	0	6	0	0	3	0	155241326358250441162355589120000000
0	0	6	0	0	2	0	-34671320676927056785766861869056000000
0	0	6	0	0	1	0	-92522409315774325393973023606579200000000
0	0	6	0	0	0	0	-13846563811135503342988382251944622080000000
0	0	5	4	0	0	2	131684044200043991040000000000
0	0	5	4	0	0	1	128417429008967665650969600000000
0	0	5	4	0	0	0	1250039195698452165865267200000000
0	0	5	3	2	0	0	65055053169207446906880000000000
0	0	5	3	1	0	2	-222766135171951561242624000000000
0	0	5	3	1	0	1	-11710896275865196987147929600000000
0	0	5	3	1	0	0	-127206610880231481971619962880000000
0	0	5	3	0	1	2	-902976303086015938560000000000
0	0	5	3	0	1	1	-390519539058201256557849600000000
0	0	5	3	0	1	0	-9856417331248524399073075200000000
0	0	5	3	0	0	2	95178619841340648481273405440000000
0	0	5	3	0	0	1	3574421544314982635550657621504000000
0	0	5	3	0	0	0	27210120235981610318552031906816000000
0	0	5	2	3	0	1	-5524145654191845424128000000000
0	0	5	2	3	0	0	1338150682753269886550016000000000
0	0	5	2	2	1	0	-185839107377312082355200000000000
0	0	5	2	2	0	2	59339087757297537402470400000000
0	0	5	2	2	0	1	-17283142935309585751570391040000000
0	0	5	2	2	0	0	-1381109394707645645526742241280000000
0	0	5	2	1	1	2	69945861277484795040768000000000
0	0	5	2	1	1	1	11066680499179397205728102400000000
0	0	5	2	1	1	0	290536474115801418717362135040000000
0	0	5	2	1	0	2	-74829487707960930289793986560000000
0	0	5	2	1	0	1	8541293561557496789237623378944000000
0	0	5	2	1	0	0	365576609320693839335610676574208000000
0	0	5	2	0	2	2	-484409162593018967040000000000
0	0	5	2	0	2	1	167068701724761216580147200000000
0	0	5	2	0	2	0	10152426555074682499702118400000000
0	0	5	2	0	1	2	-28047188364941511586062950400000000
0	0	5	2	0	1	1	-3938565134089472771976718657536000000
0	0	5	2	0	1	0	-64272633811220724323390527279104000000
0	0	5	2	0	0	2	17668240661798587847139546083328000000
0	0	5	2	0	0	1	-670998036327545734496892346125312000000
0	0	5	2	0	0	0	-26448014439587523189621178985112576000000
0	0	5	1	4	0	1	20068648336086704234496000000000
0	0	5	1	4	0	0	1138531216390549486372454400000000
0	0	5	1	3	1	1	3100218640595321389056000000000
0	0	5	1	3	1	0	-959621135298980575905792000000000
0	0	5	1	3	0	1	-22934342284091287962757447680000000
0	0	5	1	3	0	0	-1517596952069062773841294467072000000
0	0	5	1	2	2	0	94426865694588687575040000000000
0	0	5	1	2	1	1	5878923689209886457364316160000000
0	0	5	1	2	1	0	1128353070370840008037920276480000000
0	0	5	1	2	0	1	5769463499984436299612363538432000000
0	0	5	1	2	0	0	570606386923075715871538137071616000000
0	0	5	1	1	2	1	-2382877585444858321891737600000000
0	0	5	1	1	2	0	-154354393855937562840611942400000000
0	0	5	1	1	1	1	-2627982182759708402154375450624000000
0	0	5	1	1	1	0	-322923235243179274117367789924352000000
0	0	5	1	1	0	1	-192487369801610015727603100747776000000
0	0	5	1	1	0	0	-79281076312492659829852737926952960000000
0	0	5	1	0	3	1	1280623846140554795827200000000
0	0	5	1	0	3	0	-3688869927237442465463193600000000
0	0	5	1	0	2	1	870633845255876823177281482752000000
0	0	5	1	0	2	0	37119360501486435356866845960192000000
0	0	5	1	0	1	1	73280018652247667835184593899520000000
0	0	5	1	0	1	0	23509517735545729327618950485919744000000
0	0	5	1	0	0	1	-22347752038582555860178330430226432000000
0	0	5	1	0	0	0	3693841825903852988284500451745166336000000
0	0	5	0	5	0	0	778455870890454340632576000000000
0	0	5	0	4	1	0	-430864172780523365243289600000000
0	0	5	0	4	0	0	-994718393433981775645364551680000000
0	0	5	0	3	2	0	173973434394572404162560000000000
0	0	5	0	3	1	0	631655388028499099764086669312000000
0	0	5	0	3	0	0	417308898141515457366455458676736000000
0	0	5	0	2	3	0	-14347290149033364357120000000000
0	0	5	0	2	2	0	-225041893857447054522689617920000000
0	0	5	0	2	1	0	-238050195363270502758274851201024000000
0	0	5	0	2	0	0	-76828309836153683002197061960581120000000
0	0	5	0	1	3	0	24339990821740363826554798080000000
0	0	5	0	1	2	0	66654253243235781165622860251136000000
0	0	5	0	1	1	0	30914184058599178636170236299984896000000
0	0	5	0	1	0	0	6517294485411739336630868566612647936000000
0	0	5	0	0	4	0	394675892473846133145600000000000
0	0	5	0	0	3	0	-6131925146672021976692125261824000000
0	0	5	0	0	2	0	-4522624510541927545083396767035392000000
0	0	5	0	0	1	0	-1295387826607706013500254044098310144000000
0	0	5	0	0	0	0	-209529021217613529973457021293669662720000000
0	0	4	5	0	0	0	-17492030537905843476480000000000
0	0	4	4	1	0	1	16404383039501194417152000000000
0	0	4	4	1	0	0	-15095694466903614372864000000000
0	0	4	4	0	1	0	39672169816052538800640000000000
0	0	4	4	0	0	2	-169091342515887344654745600000000
0	0	4	4	0	0	1	-7920991393133034600387210240000000
0	0	4	4	0	0	0	-7291012037514499172477491200000000
0	0	4	3	2	0	2	-12190180091661215170560000000000
0	0	4	3	2	0	1	-1106148228721127239775846400000000
0	0	4	3	2	0	0	-10068225911689214871207936000000000
0	0	4	3	1	1	1	-38682893433999708317952000000000
0	0	4	3	1	1	0	-2042161801056176500647936000000000
0	0	4	3	1	0	2	17005433288151721492762214400000000
0	0	4	3	1	0	1	846933385541230305971447731200000000
0	0	4	3	1	0	0	6192797893470298801739374166016000000
0	0	4	3	0	2	0	8164410740402727444480000000000
0	0	4	3	0	1	2	48952038470861210309222400000000
0	0	4	3	0	1	1	33207810142857421462417382400000000
0	0	4	3	0	1	0	755816255669680850727836835840000000
0	0	4	3	0	0	2	-3650898256801595947362862411776000000
0	0	4	3	0	0	1	-128014148966929303600072978352640000000
0	0	4	3	0	0	0	-779918212161439990653005520528384000000
0	0	4	2	4	0	0	49437952593959372636160000000000
0	0	4	2	3	0	2	-17878930801103115583488000000000
0	0	4	2	3	0	1	-2363513948398743567462604800000000
0	0	4	2	3	0	0	-123891173293277439828287815680000000
0	0	4	2	2	1	2	4063393363887071723520000000000
0	0	4	2	2	1	1	757424141891107457523609600000000
0	0	4	2	2	1	0	14443323999014007581532364800000000
0	0	4	2	2	0	2	19323296479443686324186972160000000
0	0	4	2	2	0	1	2428213427010638285513015347200000000
0	0	4	2	2	0	0	68182812812714465394554610511872000000
0	0	4	2	1	2	1	16179736330764690799104000000000
0	0	4	2	1	2	0	2175901997546372607148032000000000
0	0	4	2	1	1	2	-5460355833860649542748364800000000
0	0	4	2	1	1	1	-702895632970001466953229465600000000
0	0	4	2	1	1	0	-10100870854008196915211586306048000000
0	0	4	2	1	0	2	-4715503641378523425708253384704000000
0	0	4	2	1	0	1	-619369398537202807096328183006208000000
0	0	4	2	1	0	0	-12705780560978088811224867323013120000000
0	0	4	2	0	3	0	-11685391255561046538240000000000
0	0	4	2	0	2	2	33331677147851992092057600000000
0	0	4	2	0	2	1	-15213013057962528550622115840000000
0	0	4	2	0	2	0	-838964729655594133400399247360000000
0	0	4	2	0	1	2	1119922395317030668209546940416000000
0	0	4	2	0	1	1	126303433292983971354015097387008000000
0	0	4	2	0	1	0	1464963733061945373549354413801472000000
0	0	4	2	0	0	2	240139742349087255316583765716992000000
0	0	4	2	0	0	1	42572763561157754681367572271399936000000
0	0	4	2	0	0	0	739584123791715233550821195363238912000000
0	0	4	1	5	0	0	73411973440893095804928000000000
0	0	4	1	4	1	0	-30475450229153037926400000000000
0	0	4	1	4	0	1	-2205129083036509228039372800000000
0	0	4	1	4	0	0	-180049148224395341503494389760000000
0	0	4	1	3	1	1	901940137778224735270502400000000
0	0	4	1	3	1	0	89117203926420838259630161920000000
0	0	4	1	3	0	1	2260146804414236073961405710336000000
0	0	4	1	3	0	0	119141663331480970087815607738368000000
0	0	4	1	2	2	1	-157668692281849243031961600000000
0	0	4	1	2	2	0	-6096780492718009864284979200000000
0	0	4	1	2	1	1	-1003849868144535287832141520896000000
0	0	4	1	2	1	0	-55329045670734106050560247717888000000
0	0	4	1	2	0	1	-713560098547464825463782747475968000000
0	0	4	1	2	0	0	-31115538426954521078058463696355328000000
0	0	4	1	1	3	1	10033070034289065984000000000
0	0	4	1	1	3	0	-734766867426142602805248000000000
0	0	4	1	1	2	1	152985887386127305127539384320000000
0	0	4	1	1	2	0	4863150520432178241568149319680000000
0	0	4	1	1	1	1	261840581491608590670108381745152000000
0	0	4	1	1	1	0	11291310973368081987620061263597568000000
0	0	4	1	1	0	1	86532398518408438016270455817435136000000
0	0	4	1	1	0	0	3457557460981622922444118503484913664000000
0	0	4	1	0	4	0	1805952606172031877120000000000
0	0	4	1	0	3	1	502043495507577810435686400000000
0	0	4	1	0	3	0	294658932457701782429571256320000000
0	0	4	1	0	2	1	-28394274228830897373859261796352000000
0	0	4	1	0	2	0	-799863260765199482059837766387712000000
0	0	4	1	0	1	1	-17220304647019460695395023482540032000000
0	0	4	1	0	1	0	-694258324089219849767723250260023296000000
0	0	4	1	0	0	1	-3565244128451492853022906798056972288000000
