B	T	coefficient
15	0	196608000
14	1	-13762560000
14	0	45079703552
13	2	396656640000
13	1	671034798080
13	0	-40521013364736
12	3	-5990154240000
12	2	-70126208742400
12	1	574532670606336
12	0	6781154032952064
11	4	49278627840000
11	3	1204052747898880
11	2	5690518616770560
11	1	-48041476696617984
11	0	-336012195727600128
10	5	-199363756032000
10	4	-7485397392496640
10	3	-107006646671917056
10	2	-759594724525476864
10	1	-3113317903524931584
10	0	-7272092428772206464
9	6	213295104000000
9	5	8466394396229632
9	4	160667770975045632
9	3	2439641780238348288
9	2	29501547323257027584
9	1	205137100364534295552
9	0	567322988529010241664
8	7	550139166720000
8	6	48043728965729280
8	5	1661254679239944192
8	4	30490385204616475392
8	3	329266613054986573824
8	2	2149743436453819374912
8	1	8091336687530327856000
8	0	13884852554188138075536
7	8	85713223680000
7	7	10254460355788800
7	6	570748881431867904
7	5	16896228807614713344
7	4	285261225295153663872
7	3	2826540947826081600768
7	2	16150774816582792818912
7	1	48838150449984714296544
7	0	60086861499117680747784
6	9	-152677908480000
6	8	-16477472987381760
6	7	-802682705671557120
6	6	-22262881452331677696
6	5	-380538846022346707968
6	4	-4127973726644967052800
6	3	-28350423618163704804096
6	2	-118839579546121761223296
6	1	-276246949663072933539264
6	0	-271918784539960858083744
5	10	-30316167168000
5	9	-2641209826181120
5	8	-83894588052185088
5	7	-1116682469654427648
5	6	-735866122230678528
5	5	172177159996153649664
5	4	2421640312843946247936
5	3	16439667606226100619648
5	2	62069814292188787672896
5	1	125067550575307871412576
5	0	105241456342678482549360
4	11	17081303040000
4	10	2015885397065728
4	9	98641077704736768
4	8	2721550701395865600
4	7	47855294821034016768
4	6	569625914985304633344
4	5	4721716431005049649152
4	4	27397589796409590673920
4	3	109311887948401003723776
4	2	285626511135054810572544
4	1	439337450274669132526656
4	0	300869337230366913396720
3	12	2202009600000
3	11	124445033758720
3	10	1912513741553664
3	9	-32217589941792768
3	8	-1815039304829024256
3	7	-35464206287247667200
3	6	-412783372045512935424
3	5	-3188113302539981799936
3	4	-16832209411371266742528
3	3	-60296326786668093776640
3	2	-140440948058529093772800
3	1	-192089360758655576540016
3	0	-117150724593696232697976
2	13	-786432000000
2	12	-74521024921600
2	11	-3210165456482304
2	10	-83674916488747008
2	9	-1479528103520461824
2	8	-18812428885645005312
2	7	-177389626821855727104
2	6	-1256804798734173153024
2	5	-6684531326289768417408
2	4	-26303304657677860063296
2	3	-74215764193484069292528
2	2	-141745005444812536740600
2	1	-163764445420998092730708
2	0	-86225302876019897163402
1	13	-101711872000
1	12	-16157990191104
1	11	-931924182804480
1	10	-29233403515837440
1	9	-581164323748038144
1	8	-7892573320882301184
1	7	-76193594798913186048
1	6	-533138948055037176192
1	5	-2716552279653082248384
1	4	-9988722113383716895008
1	3	-25827649996900885122888
1	2	-44561269097641295092620
1	1	-46058102334688999838094
1	0	-21569225341924505595573
0	14	-41943040000
0	13	-3759415492608
0	12	-154277347737600
0	11	-3843100213346304
0	10	-64938025616744448
0	9	-787578865768194048
0	8	-7072169161022217216
0	7	-47780301457940262912
0	6	-244145160132557110272
0	5	-939289522039575137280
0	4	-2679413009931666495936
0	3	-5497789553671102773120
0	2	-7673726952179551005984
0	1	-6524584714967753056608
0	0	-2550620485334231926308
