B	T	coefficient
27	0	100663296000
26	1	-4932501504000
26	0	-10893054181376
25	2	51036291072000
25	1	3126258841944064
25	0	-31423970181906432
24	3	1105685643264000
24	2	-95803470983462912
24	1	19627103545196544
24	0	10714335784811495424
23	4	-23142755991552000
23	3	776818866382176256
23	2	7747091224679153664
23	1	-85868564492121145344
23	0	-510294211680960184320
22	5	-45673969876992000
22	4	2430472539291123712
22	3	197978752567240556544
22	2	1155332256477022715904
22	1	-28417413758720773128192
22	0	-230687271552163085770752
21	6	3378769437917184000
21	5	-39992646193518215168
21	4	-4972022513820181463040
21	3	-60779431671176134656000
21	2	254510921888401392009216
21	1	7341268255721782504685568
21	0	29437334458884931460972544
20	7	-7908051923238912000
20	6	562236624551484030976
20	5	30511111484380323151872
20	4	413079330604922200793088
20	3	1386408687210585294815232
20	2	1813548834412402860066816
20	1	142793838629310593063872512
20	0	912215968265556631664082432
19	8	-245184801652998144000
19	7	-12181038298591245467648
19	6	-122357187471992618041344
19	5	2372215620546106281566208
19	4	32050475119985602914054144
19	3	-672194921181683499728160768
19	2	-16018313337045875024796957696
19	1	-116816236065716875420187331072
19	0	-296712418603657082423484678912
18	9	985971216634478592000
18	8	20992353544149779021824
18	7	-1462145435106295109124096
18	6	-67526603357361765563695104
18	5	-1036882650494152222256922624
18	4	-4284160804497292504925036544
18	3	60282719467426425928750497792
18	2	834035918815991112840482918400
18	1	3813500833058124458902206001152
18	0	5959280044758034051929166507776
17	10	9634306902073540608000
17	9	1040675285649638319259648
17	8	47253771815041370766016512
17	7	1202130925364831274381017088
17	6	19557020901373154818956361728
17	5	229952927460951303190410387456
17	4	2255973825650806440972409540608
17	3	19450444233040899105872298258432
17	2	128553172279397594833458074904576
17	1	521496661659277926864702107863296
17	0	928885549221007250542360053482880
16	11	-41998722827341529088000
16	10	-4027473227757239917641728
16	9	-168942163724921997090422784
16	8	-4192480540275478101613338624
16	7	-73439781273067926332502835200
16	6	-1076515166778119502443349626880
16	5	-14334389055637720818853832073216
16	4	-158938578334203863774672097008640
16	3	-1275939728838808113724183182016512
16	2	-6620894904163543851086394837651072
16	1	-19506703264763463580498118573011200
16	0	-24472279487383460908737451007923296
15	12	-199995454132312866816000
15	11	-27145578363183446034317312
15	10	-1646185975596799736401133568
15	9	-59101667912729904037944090624
15	8	-1403788678773888734455738613760
15	7	-23388130904122920153919987003392
15	6	-283696262433833322132834790699008
15	5	-2577997411439732873876982851324928
15	4	-17951154967320660905885141264400384
15	3	-96324092840664480653086214999115648
15	2	-383327508250362863658756165138488448
15	1	-1002344594271249397436645593708340064
15	0	-1263528106500604664271554716969718208
14	13	628840537460947550208000
14	12	85058501111934808606375936
14	11	5286504883187082107378515968
14	10	200461393536028616237183410176
14	9	5193155115325032315614900342784
14	8	97470161643356983928533080766464
14	7	1369318430451174831332839319205888
14	6	14622525382849864244011686822368256
14	5	118719294920477627310808345062001152
14	4	720738043247020779862732244664352512
14	3	3147855957659187661384654335691724736
14	2	9194834721897459117125530096655470752
14	1	15580544391226119967908566683500584208
14	0	10791318935207229696906784424485923096
13	14	1849906004578434809856000
13	13	294988099142510949312888832
13	12	21681269332636704589512769536
13	11	973867124014557136644705878016
13	10	29876532267253184196858155040768
13	9	662474083698755715927475715383296
13	8	10953894071821397950618205808955392
13	7	137272681910835514250110841950420992
13	6	1310921647866417709179941599417761792
13	5	9499558439278042274354843040080795136
13	4	51452660597553407155307574681000453888
13	3	202106907498503888088319115016872583168
13	2	544440597065557672800179047214781317376
13	1	900129542503344799577313514252983592032
13	0	688239687398491694161720743014576838960
12	15	793840446859326259200000
12	14	154302645842222944840843264
12	13	13592014940672131204805492736
12	12	723821848584035210645977202688
12	11	26157801742118857499244920340480
12	10	681223330669455134658849640660992
12	9	13230505194041914063013624093577216
12	8	195364494741974565871044828410075136
12	7	2213017884302295330834530020479774720
12	6	19238241419698590178289465336718428160
12	5	127307307857580105455120706644190319872
12	4	629593823294440730591718202662865820544
12	3	2251079443586203401640370464340710494336
12	2	5487925144949770982086187841017875520448
12	1	8145885347634683596881299679364638708720
12	0	5540222698189177102056420563996091211752
11	16	-1421841319740548579328000
11	15	-236008036582138275682058240
11	14	-18169441268542277396108673024
11	13	-860855681617179784738367864832
11	12	-28084318155737089759151832563712
11	11	-668732059937741507001750279684096
11	10	-12019556399851707512258906364542976
11	9	-166319568429139536231245713442242560
11	8	-1790672719634866372504643760861536256
11	7	-15053943706383242211044572429157154816
11	6	-98538518972848629264249360521485043712
11	5	-497288888652075909290813160010387482624
11	4	-1898609125727668906528122227884564972032
11	3	-5306790103818049745087823621091435972608
11	2	-10250551041885960117387276544713028008576
11	1	-12231996608778002580911942026648818942336
11	0	-6793282058044803764474490341626007075232
10	17	-1627600973709019447296000
10	16	-299332656686708965781798912
10	15	-25693260154903435296340574208
10	14	-1366490483524636470526518558720
10	13	-50413103577248061194753729200128
10	12	-1368447463714921535755719295451136
10	11	-28286727366013926472788737375526912
10	10	-454530492312727443533709890083393536
10	9	-5744379285113967088753563384302352384
10	8	-57384614888571496002757243981470802944
10	7	-452786141851274145156849229133408813568
10	6	-2803574475871235345265207273841762361088
10	5	-13444206775328804368025421979204326867072
10	4	-48840426695702957583210002890885788101568
10	3	-129694851220244058339452994489129282324384
10	2	-237032124702083149285639024239287323129392
10	1	-266012809071265564303532518494157028376168
10	0	-137947178113617305616385309817411592930636
9	18	-376098682215912701952000
9	17	-73664503629071138982723584
9	16	-6745965201056365976029888512
9	15	-383507819289811297488312926208
9	14	-15156070158268712791965080125440
9	13	-441837217423101075025731512352768
9	12	-9840009402258357741497392020332544
9	11	-171052585791402274888546147867619328
9	10	-2351144312172165972714611969703757824
9	9	-25725724416730880394930434347667610624
9	8	-224449049837975067329242584714998570496
9	7	-1556691941592939198781729418365459945728
9	6	-8513484812902481045262712546644340023168
9	5	-36195078612249348862127201743923920144448
9	4	-116937405946840907338265271232275530771808
9	3	-276909530197526547127917784094153802889296
9	2	-452467560609474546489454701304663769923608
9	1	-455183238241850984373612634328864136480372
9	0	-212176762252413763846754455108614150424632
8	19	254014002478329102336000
8	18	49666229190216250915028992
8	17	4559806026658262021497159680
8	16	261129228202045984595206275072
8	15	10451439135125144718151278919680
8	14	310436045283795193774502118162432
8	13	7091992199545804956052527375384576
8	12	127439626706377001401669149423255552
8	11	1826771428819959638644752010076012544
8	10	21059504392401510586795707270180765696
8	9	195938935207479798117956999244914503680
8	8	1470436067317786462209961113758605942272
8	7	8859185856801493849856849897839198270464
8	6	42455451631109276474393418662485305480192
8	5	159403872706236707629611327418820094052608
8	4	458059990681329498590530140527892619788864
8	3	971166550791114842697206264000332559126592
8	2	1429584110484828495272624742739726493167488
8	1	1303141699309429356886218578419687922298288
8	0	553418425595648789416271732539927015995129
7	20	144222253424069050368000
7	19	28692883041270039454941184
7	18	2686828679773887647933005824
7	17	157376287614562138319897493504
7	16	6463276956747730357695657934848
7	15	197729232163971961456393957933056
7	14	4672917919165625792066638718042112
7	13	87311342558190057065554600229732352
7	12	1309245487179661532223719037314629632
7	11	15902918658248110375281100120190287872
