A	B	Y	T	coefficient
11	0	0	0	237421129860
10	1	0	0	-2800118160
10	0	1	0	331751192292
10	0	0	1	-10427106672
10	0	0	0	-29857817996757
9	2	0	0	11111580
9	1	1	0	-2950767792
9	1	0	1	151117488
9	1	0	0	298809101412
9	0	2	0	198632352384
9	0	1	1	-10443481632
9	0	1	0	-34115209821252
9	0	0	2	817812288
9	0	0	1	38032577352
9	0	0	0	1502534879294058
8	2	1	0	9240156
8	2	0	0	-284772834
8	1	2	0	-1243462752
8	1	1	1	130999680
8	1	1	0	234869785704
8	1	0	1	1483008912
8	1	0	0	-12423383460288
8	0	3	0	66059231184
8	0	2	1	-4178594304
8	0	2	0	-15487344965700
8	0	1	2	658741248
8	0	1	1	-327162357936
8	0	1	0	1242864137272968
8	0	0	2	30449810304
8	0	0	1	67166514161496
8	0	0	0	-33869802319352325
7	3	0	0	-8970012
7	2	2	0	2881008
7	2	1	0	124928244
7	2	0	1	-146071944
7	2	0	0	-41282417556
7	1	3	0	-261926784
7	1	2	1	42550272
7	1	2	0	59661904320
7	1	1	1	4941340848
7	1	1	0	-5783714813304
7	1	0	2	-1603082880
7	1	0	1	-1336459354848
7	1	0	0	244783346321736
7	0	4	0	13179013632
7	0	3	1	-834831360
7	0	3	0	-3304560810240
7	0	2	2	198567936
7	0	2	1	-318098679552
7	0	2	0	291482320177728
7	0	1	2	42508670400
7	0	1	1	75562022721888
7	0	1	0	-9371566756375056
7	0	0	3	-5673572352
7	0	0	2	-7946874380736
7	0	0	1	-3529863973609344
7	0	0	0	31987371575028816
6	4	0	0	32391
6	3	1	0	-5545152
6	3	0	1	717696
6	3	0	0	705477060
6	2	3	0	399168
6	2	2	0	186564708
6	2	1	1	-96987456
6	2	1	0	-51259795380
6	2	0	2	9172224
6	2	0	1	14009926536
6	2	0	0	2605049575632
6	1	4	0	-27578880
6	1	3	1	6137856
6	1	3	0	1933673472
6	1	2	1	3299450112
6	1	2	0	184868812944
6	1	1	2	-931668480
6	1	1	1	-1200132649584
6	1	1	0	20717992798632
6	1	0	3	61857792
6	1	0	2	160934286240
6	1	0	1	79796739841920
6	1	0	0	-2759333621213232
6	0	5	0	1577221632
6	0	4	1	-83275776
6	0	4	0	-220174049664
6	0	3	2	26542080
6	0	3	1	-117197134848
6	0	3	0	-32255542832256
6	0	2	2	20900146176
6	0	2	1	30760267300992
6	0	2	0	8890081049551824
6	0	1	3	-2795323392
6	0	1	2	-6262047900864
6	0	1	1	-2236598959493088
6	0	1	0	-683091664854158088
6	0	0	4	223248384
6	0	0	3	468439244928
6	0	0	2	396384625532736
6	0	0	1	43711446677205888
6	0	0	0	18128565677554325622
5	4	1	0	12240
5	4	0	0	-1100034
5	3	2	0	-1136160
5	3	1	1	329472
5	3	1	0	302304960
5	3	0	1	-35211456
5	3	0	0	-22351971708
5	2	4	0	20736
5	2	3	0	58316112
5	2	2	1	-21575808
5	2	2	0	-20011191912
5	2	1	2	3953664
5	2	1	1	7035475968
5	2	1	0	1946746843812
5	2	0	2	-817021728
5	2	0	1	-536993598600
5	2	0	0	-53610724382364
5	1	5	0	-1161216
5	1	4	1	331776
5	1	4	0	-1534484736
5	1	3	1	900398592
5	1	3	0	465561748224
5	1	2	2	-176338944
5	1	2	1	-413082830592
5	1	2	0	-31375115465472
5	1	1	3	25067520
5	1	1	2	71489184768
5	1	1	1	52064212062960
5	1	1	0	-532382487491160
5	1	0	3	-6539000832
5	1	0	2	-5947241284224
5	1	0	1	-2037443725626624
5	1	0	0	71191750204202256
5	0	6	0	104841216
5	0	5	1	-3317760
5	0	5	0	43108651008
5	0	4	2	1327104
5	0	4	1	-21072586752
5	0	4	0	-27300348573696
5	0	3	2	4727310336
5	0	3	1	5132376110592
5	0	3	0	5263620707915136
5	0	2	3	-450330624
5	0	2	2	-1881417507840
5	0	2	1	-173124391623552
5	0	2	0	-505877905531927872
5	0	1	4	66060288
5	0	1	3	173630656512
5	0	1	2	230102946756288
5	0	1	1	-30628264210148448
5	0	1	0	24917194731715114248
5	0	0	4	-19228962816
5	0	0	3	-14275348968960
5	0	0	2	-9147284822212416
5	0	0	1	1815911445006582480
5	0	0	0	-501227384481033363252
4	5	0	0	-9468
4	4	2	0	1152
4	4	1	0	-64152
4	4	0	1	-306144
4	4	0	0	9547713
4	3	3	0	-77184
4	3	2	1	36864
4	3	2	0	27324216
4	3	1	1	-11578464
4	3	1	0	-5864025456
4	3	0	2	-3426048
4	3	0	1	979293888
4	3	0	0	375209374500
4	2	4	0	7210944
4	2	3	1	-1603584
4	2	3	0	-3130403760
4	2	2	2	442368
4	2	2	1	955289376
4	2	2	0	427467482892
4	2	1	2	-268365312
4	2	1	1	-178303322304
4	2	1	0	-18610732804428
4	2	0	3	-13142016
4	2	0	2	33179810976
4	2	0	1	10064748732552
4	2	0	0	40263554326572
4	1	5	0	-241864704
4	1	4	1	110149632
4	1	4	0	67635336960
4	1	3	2	-10838016
4	1	3	1	-65934756864
4	1	3	0	-924724206144
4	1	2	3	2359296
4	1	2	2	8674532352
4	1	2	1	11838150051840
4	1	2	0	-1104091061007600
4	1	1	3	-2000609280
4	1	1	2	-1574426782080
4	1	1	1	-848111298744240
4	1	1	0	104705192324146392
4	1	0	4	14450688
4	1	0	3	262168462080
4	1	0	2	84405688470432
4	1	0	1	21368655005370336
4	1	0	0	-2812548499191684720
4	0	7	0	2985984
4	0	6	0	10289452032
4	0	5	1	-1854296064
4	0	5	0	-4944456940032
4	0	4	2	500318208
4	0	4	1	96911603712
4	0	4	0	1032211061303040
4	0	3	3	-23592960
4	0	3	2	-256023991296
4	0	3	1	179392550294016
4	0	3	0	-125777844770055264
4	0	2	4	4718592
4	0	2	3	17531375616
4	0	2	2	45791482795776
4	0	2	1	-39572612676488448
4	0	2	0	9348908685642953640
4	0	1	4	-4494901248
4	0	1	3	-2903895069696
4	0	1	2	-3532056244104384
4	0	1	1	3087335204107349184
4	0	1	0	-389969674493992280064
4	0	0	5	146276352
4	0	0	4	595081292544
4	0	0	3	153688551037056
4	0	0	2	101353469405075136
4	0	0	1	-83500281836192233008
4	0	0	0	6925292365755950896158
3	6	0	0	16
3	5	1	0	-2016
3	5	0	1	768
3	5	0	0	436968
3	4	2	0	37368
3	4	1	1	-59904
3	4	1	0	-588384
3	4	0	2	15360
3	4	0	1	13707360
3	4	0	0	-585984780
3	3	3	0	-2414880
3	3	2	1	-452736
3	3	2	0	32126544
3	3	1	2	-626688
3	3	1	1	417965184
3	3	1	0	63971254656
3	3	0	3	163840
3	3	0	2	142972992
3	3	0	1	-34555439808
3	3	0	0	-4015077774372
3	2	5	0	311040
3	2	4	0	-158443776
3	2	3	1	-4955904
3	2	3	0	17616955680
3	2	2	2	-17376768
3	2	2	1	-5013420480
3	2	2	0	2078290493568
3	2	1	3	-2359296
3	2	1	2	9282086784
3	2	1	1	1339137681408
3	2	1	0	-423470784274884
3	2	0	4	983040
3	2	0	3	405001728
3	2	0	2	-803196990144
3	2	0	1	-82050901637976
3	2	0	0	17016678545743620
3	1	6	0	-10948608
3	1	5	1	4976640
3	1	5	0	-1354143744
3	1	4	1	-4436425728
3	1	4	0	2859503689728
3	1	3	2	48439296
3	1	3	1	919085688576
3	1	3	0	-702506689931520
3	1	2	3	-114573312
3	1	2	2	30991901184
3	1	2	1	-63030622106880
3	1	2	0	72049665770058816
3	1	1	4	1179648
3	1	1	3	56689113600
3	1	1	2	-7388350288128
3	1	1	1	267874139851920
3	1	1	0	-3402161145804676968
3	1	0	5	3145728
3	1	0	4	-1847218176
3	1	0	3	-5097786845184
3	1	0	2	320763835029888
3	1	0	1	76798706437209312
3	1	0	0	60917410979049589560
