A	B	Y	Z	coefficient
15	0	0	0	116101021696
14	0	0	0	5828948944896
13	1	0	0	-142487617536
13	0	1	0	4041466970112
13	0	0	1	-1139900940288
13	0	0	0	-110222489318832
12	1	0	0	-1408794799104
12	0	2	0	349742333952
12	0	1	0	201055640265216
12	0	0	1	-13917271965696
12	0	0	0	-13810252339614456
11	2	0	0	72862986240
11	1	1	0	-2952938115072
11	1	0	1	1165807779840
11	1	0	0	237002971804632
11	0	2	0	83201807411712
11	0	1	1	-25054269014016
11	0	1	0	-5055926149400544
11	0	0	2	4663231119360
11	0	0	1	1549213070898240
11	0	0	0	-124454964171220632
10	2	0	0	845953948224
10	1	2	0	-286152818688
10	1	1	0	-22970160937152
10	1	0	1	-11274673969152
10	1	0	0	3578540407793568
10	0	3	0	8653954940928
10	0	2	1	-2289222549504
10	0	2	0	3030049471882752
10	0	1	1	-438781204224000
10	0	1	0	-552589680402690948
10	0	0	2	-75944669036544
10	0	0	1	51232512916059120
10	0	0	0	20699359205725373751
9	3	0	0	-19871723520
9	2	1	0	1070837501184
9	2	0	1	-476921364480
9	2	0	0	-131372683183008
9	1	2	0	-38199602985984
9	1	1	1	14353165246464
9	1	1	0	5334391752510600
9	1	0	2	-3815370915840
9	1	0	1	-1450702599670224
9	1	0	0	-50594034492663084
9	0	4	0	263390662656
9	0	3	0	1171621824620544
9	0	2	1	-331484933412864
9	0	2	0	-169359318270097920
9	0	1	2	55773785751552
9	0	1	1	45264341016588960
9	0	1	0	4920363687238511004
9	0	0	3	-10174322442240
9	0	0	2	-3929114913488064
9	0	0	1	-941975828912730744
9	0	0	0	33529047488408446074
8	3	0	0	-212576120064
8	2	2	0	87796887552
8	2	1	0	-12587899774212
8	2	0	1	3028863290112
8	2	0	0	1580904845658522
8	1	3	0	-4573641397248
8	1	2	1	1404750200832
8	1	2	0	-170565360668640
8	1	1	1	-266599247377536
8	1	1	0	275304862073115504
8	1	0	2	91431442206720
8	1	0	1	16760142707421168
8	1	0	0	-21281877436264113816
8	0	4	0	131065233463296
8	0	3	1	-34721451933696
8	0	3	0	15337353887394768
8	0	2	2	5619000803328
8	0	2	1	-2990031149339136
8	0	2	0	-7239039107572198404
8	0	1	2	-553534101153792
8	0	1	1	1784749657262600592
8	0	1	0	502395249945414750120
8	0	0	3	358942843404288
8	0	0	2	-15009741508719168
8	0	0	1	-118623977675840916360
8	0	0	0	-6158790645916182262821
7	4	0	0	3048503040
7	3	1	0	-231381380736
7	3	0	1	97552097280
7	3	0	0	27801217054548
7	2	2	0	6430819997232
7	2	1	1	-3972809161728
7	2	1	0	-747634872828780
7	2	0	2	1170625167360
7	2	0	1	520363401458904
7	2	0	0	12279125900515464
7	1	4	0	-107750725632
7	1	3	0	-422892158636160
7	1	2	1	90395260222464
7	1	2	0	173094062222031552
7	1	1	2	-23018747609088
7	1	1	1	-17874514435839696
7	1	1	0	-21802894734842021088
7	1	0	3	6243334225920
7	1	0	2	1928650305299328
7	1	0	1	650117018845531296
7	1	0	0	879564725382110459688
7	0	5	0	5028367196160
7	0	4	1	-862005805056
7	0	4	0	10744486503897600
7	0	3	1	-3289710134025216
7	0	3	0	-2638276941980222208
7	0	2	2	404671535622144
7	0	2	1	1052670769705822464
7	0	2	0	119985477568586093952
7	0	1	3	-48357461458944
7	0	1	2	-95019417908831808
7	0	1	1	-115607287852999582176
7	0	1	0	10047431282002707395664
7	0	0	4	12486668451840
7	0	0	3	-246103020140544
7	0	0	2	4644619505638496064
7	0	0	1	4424082440023197080640
7	0	0	0	-684058457799384046278264
6	4	0	0	9180407079
6	3	2	0	-11972302848
6	3	1	0	2262059484624
6	3	0	1	-831946557312
6	3	0	0	-211926840923340
6	2	3	0	864624746304
6	2	2	1	-287335268352
6	2	2	0	-90827898939756
6	2	1	1	101831068105920
6	2	1	0	-5966640815508468
6	2	0	2	-23585663358720
6	2	0	1	-12510206693497944
6	2	0	0	361006224285687732
6	1	4	0	-56531672160768
6	1	3	1	12408747706368
6	1	3	0	28257489843411456
6	1	2	2	-2298682146816
6	1	2	1	-3183360908537088
6	1	2	0	-5297490248429455344
6	1	1	2	840910335340032
6	1	1	1	41433106207025808
6	1	1	0	437584074610589310960
6	1	0	3	-205976335491072
6	1	0	2	-81672513244335072
6	1	0	1	13937726768424842016
6	1	0	0	-13254511513869391319208
6	0	5	0	1444633297491456
6	0	4	1	-394342260019200
6	0	4	0	-162462382848372096
