A	u	Z	coefficient
16	0	0	-29763500000
15	2	0	-290299680000
15	1	0	-215269860000
15	0	0	14466865380000
14	4	0	56866048754400
14	3	0	589640722293600
14	2	0	2124084820885200
14	1	0	3133494495889200
14	0	1	905889600000
14	0	0	114381859633200
13	6	0	43289120282400
13	5	0	276136088243040
13	4	0	-2064277626646464
13	3	0	-23032263486078576
13	2	1	-14160753072000
13	2	0	-56260634797274544
13	1	1	-52386271344000
13	1	0	-17424763201037016
13	0	1	-188698712832000
13	0	0	122656630441022856
12	8	0	12484174734000
12	7	0	-37076425766640
12	6	0	-3096656357006016
12	5	0	-25300375812735264
12	4	1	-494403527658240
12	4	0	-134762588244850392
12	3	1	-5444480020397760
12	3	0	-800581551103815768
12	2	1	-19953609435908640
12	2	0	-4307101972660987020
12	1	1	-31255056153840960
12	1	0	-11070842367717964620
12	0	2	-5013809280000
12	0	1	-8663368375743840
12	0	0	-12246130047783298374
11	10	0	1648943762400
11	9	0	-27584424702720
11	8	0	-724650260249088
11	7	0	-955499070979872
11	6	1	-297631324851840
11	6	0	54850493378396232
11	5	1	-1433270656729152
11	5	0	773944496843317056
11	4	1	30650860813126464
11	4	0	7815109711117741848
11	3	1	327185720040299616
11	3	0	52964411968438809300
11	2	2	111004729689600
11	2	1	1085740049118428064
11	2	0	222181026998604296616
11	1	2	410459901811200
11	1	1	1482393944523797856
11	1	0	468869834249846718336
11	0	2	1005750496281600
11	0	1	325253247761747232
11	0	0	419247137915962133832
10	12	0	89038164600
10	11	0	-3178151665920
10	10	0	-68744721164328
10	9	0	1048745948945256
10	8	1	-70755555520800
10	8	0	18731311333773156
10	7	1	356739154273152
10	7	0	162751690905745716
10	6	1	23647056708459456
10	6	0	1266293164521310740
10	5	1	157453645217678496
10	5	0	2664106665030558972
10	4	2	1497500454287232
10	4	1	180406614744560736
10	4	0	-35558861143190414256
10	3	2	17471565976036608
10	3	1	-1586376380409938928
10	3	0	-470782411487159731524
10	2	2	61129546816079232
10	2	1	-58776267623326920
10	2	0	-2638474474370122822824
10	1	2	89061620578714368
10	1	1	17018445286723827600
10	1	0	-6358716574822403233128
10	0	3	9499161600000
10	0	2	14686425091130112
10	0	1	32964184084108434408
10	0	0	-6013464061745780723556
9	12	0	-5373133836840
9	11	0	153182525391504
9	10	1	-8029349000640
9	10	0	1672753012583976
9	9	1	159093343273536
9	9	0	-12680750407966668
9	8	1	4027475617171488
9	8	0	-209197656147534120
9	7	1	-5423222791548576
9	7	0	-4406913230629977000
9	6	2	737139897360000
9	6	1	-637331067833513184
9	6	0	-65586047347171050192
9	5	2	1784082323884032
9	5	1	-7006113115160401008
9	5	0	-731447200369918908936
9	4	2	-125321335004170368
9	4	1	-53873384451674618160
9	4	0	-5728511341904706554760
9	3	2	-1317276674132250240
9	3	1	-298448381333839599288
9	3	0	-23566260022655005030572
9	2	3	-254658339072000
9	2	2	-4562663560656899328
9	2	1	-1123040525276285598312
9	2	0	-44534426071724870520240
9	1	3	-964864929024000
9	1	2	-6770559020047964928
9	1	1	-2243050447068125403552
9	1	0	-27767227102391610060408
9	0	3	-2054806382592000
9	0	2	-2690442494859231360
9	0	1	-1899105246350162901360
9	0	0	11950291283785504920576
8	12	1	-414099876960
8	12	0	137744354151234
8	11	1	16791997281696
8	11	0	-2656432892885724
8	10	1	259585135899552
8	10	0	-36079918863777432
8	9	1	-6019173141388272
8	9	0	-100052966937678372
8	8	2	145227784548672
8	8	1	-108618468133958712
8	8	0	-390146948766746244
8	7	2	-1160672044699584
8	7	1	-669078918203497632
8	7	0	7375553419860626292
8	6	2	-61933726396419840
8	6	1	2395861512000662808
8	6	0	762963954002659443996
8	5	2	-253548169663241664
8	5	1	121506785932408823448
8	5	0	17675953631539929718884
8	4	3	-1884847590397440
8	4	2	2463524159075416224
8	4	1	1320707437123436458704
8	4	0	161303133550731635933928
8	3	3	-23391820656552960
8	3	2	28793624939407369728
8	3	1	7679831835626136573336
8	3	0	701679342930427731463236
8	2	3	-74032809473456640
8	2	2	92414591894139498720
8	2	1	26648229107238572703744
8	2	0	1568465062506369860971572
8	1	3	-86070716392412160
8	1	2	118324342654896151296
8	1	1	48738132573520644200304
8	1	0	1716273285226249145460588
8	0	4	-5878656000000
8	0	3	26670121199400960
8	0	2	29871990248091336000
8	0	1	37243580300088378397704
8	0	0	674526863930979974769630
7	12	1	22897924852032
7	12	0	-1765838780305200
7	11	1	-778896727859520
7	11	0	4349768933310768
7	10	2	13971357456768
7	10	1	-4991911488953136
7	10	0	685089478264440960
7	9	2	-329323945905792
7	9	1	95144953249267128
7	9	0	4887188443536714360
7	8	2	-7849030502959488
7	8	1	1441625974544598840
7	8	0	42012712000071047304
7	7	2	45710001888268032
7	7	1	28933054602132781440
7	7	0	1731152226455959347936
7	6	3	-779362953569280
7	6	2	2019521511685196064
7	6	1	260609312801926233504
7	6	0	9693199402288770766896
7	5	3	929037196892160
7	5	2	15469972597367049312
7	5	1	818705524545218066688
7	5	0	-129701991428970568978176
7	4	3	197044608950350848
7	4	2	70218708793635040128
7	4	1	470415354747367042656
7	4	0	-1614258574441246826232048
7	3	3	2056059731762053632
7	3	2	211521922471858469760
7	3	1	-14857369114171696859808
7	3	0	-7088823305844514727337432
7	2	4	184119505920000
7	2	3	6983126667997291008
7	2	2	782765207275895800704
7	2	1	-108035438522167455329376
7	2	0	-15489960106072233358441296
7	1	4	713903984640000
7	1	3	9924302307514655232
7	1	2	1940492445063305094144
7	1	1	-277322659588591573773888
7	1	0	-16822449612466386567239520
7	0	4	1397474104320000
7	0	3	3529981724227803648
7	0	2	2035516685331585392640
7	0	1	-254986014992594161000320
7	0	0	-6990488119249605507485520
6	12	2	695546201664
6	12	1	-558625182167088
6	12	0	8285574777955992
6	11	2	-32121291731904
6	11	1	14981566922239464
6	11	0	557318306382423768
6	10	2	-258294259674432
6	10	1	95337227042441424
6	10	0	-9224979444803987280
6	9	2	11354229299022624
6	9	1	-390803202094613112
6	9	0	-66271600744035788520
6	8	3	-126773770073472
6	8	2	214728592067752752
6	8	1	-7371307550264827320
6	8	0	-592485852659143248720
6	7	3	1543314202539264
6	7	2	131900664617991504
6	7	1	-426721443392057517792
6	7	0	-37568360849221099094472
6	6	3	65876077828226304
6	6	2	-29589973350184109520
6	6	1	-6559305264939234622176
6	6	0	-404570420970007517080488
6	5	3	-13639717951094016
6	5	2	-453845171202198732288
6	5	1	-69748897204604791171296
6	5	0	-1523255911789904712352872
6	4	4	790465248921600
6	4	3	-7145009357038557696
6	4	2	-3827512059971531529024
6	4	1	-511032731882571209315232
6	4	0	-1427436320102927028921888
6	3	4	10663627354214400
6	3	3	-66792237113993485824
6	3	2	-18878202385501506127488
6	3	1	-2071899351719491126381632
6	3	0	4456600347971290303797336
6	2	4	27701874103449600
6	2	3	-219857378830663473792
6	2	2	-57103354034777926177920
6	2	1	-4368752390556375018385392
6	2	0	12012267150456392675571840
6	1	4	12940209113702400
6	1	3	-308807444719468694016
6	1	2	-94588586101396052494848
6	1	1	-4390802802472772963334240
6	1	0	7876544726889407505051072
6	0	4	-48992078162534400
6	0	3	-130312230104243955456
6	0	2	-66627939432903399982080
6	0	1	-1475434287784155111772464
6	0	0	-1726301894870963178143784
5	12	2	-32666530357440
5	12	1	7317072452279520
5	12	0	66529868533845696
5	11	2	1312207723714176
5	11	1	-121123500518426256
5	11	0	-9617986402275021984
5	10	3	-10212510378240
5	10	2	2243841432052320
5	10	1	-1795013947884670416
5	10	0	77685197728620427344
5	9	3	287776384222464
5	9	2	-202434223270187088
5	9	1	-9104665023287630280
5	9	0	495506415351220963344
5	8	3	6143360798413440
5	8	2	-2891686618034673120
5	8	1	-33678873235977048936
5	8	0	4332882566151044914104
5	7	3	-80909184967668864
5	7	2	-38601660015902423520
5	7	1	812900636204177611008
5	7	0	376870873582042861015728
5	6	4	295136493447168
5	6	3	-2281418604183379968
5	6	2	12407280384060073728
5	6	1	60692645703691293733152
5	6	0	5330754476094122074075392
5	5	4	-2018919178616832
5	5	3	-5621922577015371648
5	5	2	5982331752436721357088
5	5	1	1129135919893210271491488
5	5	0	37915281038947449468560976
5	4	4	-103356721786152960
5	4	3	77534743045099056768
5	4	2	58737531189266980439040
5	4	1	8860240513065607401109248
5	4	0	172249459931529626727060432
5	3	4	-1072937368461404160
5	3	3	808447457782901848320
5	3	2	281737030444060562605440
5	3	1	34976658819882206344291056
5	3	0	513429540180709345379888472
5	2	4	-3420744259253391360
5	2	3	2523274915428780535296
5	2	2	785111222552971133803392
5	2	1	73883534067543669255613008
