A	u	Z	coefficient
15	1	0	-222082800000
15	0	0	-421241040000
14	3	0	4529504646000
14	2	0	27186108004800
14	1	0	81337926729600
14	0	0	76564033930800
13	5	0	10053609088320
13	4	0	197280529077456
13	3	0	976707415539144
13	2	0	2495579810140296
13	1	1	2036053800000
13	1	0	2423506262415984
13	0	1	3101944680000
13	0	0	1255299863354496
12	7	0	12173897080080
12	6	0	384660293597064
12	5	0	2725809555567096
12	4	0	-1912640276314584
12	3	1	-44086919436000
12	3	0	-75178019080506492
12	2	1	-231364309305600
12	2	0	-328851808220445480
12	1	1	-616482956959200
12	1	0	-590050397834018136
12	0	1	-452512354809600
12	0	0	-440316421302388212
11	9	0	3510395466840
11	8	0	112240581156072
11	7	0	-391739589434952
11	6	0	-20872297165202928
11	5	1	-148108210499520
11	5	0	-72625221474270336
11	4	1	-3214053039275712
11	4	0	785909202711878160
11	3	1	-19318931105137488
11	3	0	6912857043598428234
11	2	1	-60345952519275792
11	2	0	23840665312659112926
11	1	2	-7321842720000
11	1	1	-91192649001767568
11	1	0	39270218828847077232
11	0	2	-12598636320000
11	0	1	-65444761974594672
11	0	0	26788569431611490028
10	11	0	283365478440
10	10	0	18652130057952
10	9	0	-383207567533632
10	8	0	-8803320972317928
10	7	1	-81097525918080
10	7	0	-14473812760172280
10	6	1	-2850730490729088
10	6	0	-188095548495018762
10	5	1	-17805348701796384
10	5	0	-10504841539709777022
10	4	1	108929418030653184
10	4	0	-105680173814442325296
10	3	2	176329313942400
10	3	1	1297149116242382568
10	3	0	-485649120368636779662
10	2	2	953817968620800
10	2	1	5099309896093534656
10	2	0	-1226551257143897241222
10	1	2	2452537288886400
10	1	1	9028676198806221816
10	1	0	-1660651591512828430080
10	0	2	1995260076288000
10	0	1	6592478177362446288
10	0	0	-967800919298115523860
9	12	0	1592229384900
9	11	0	-61179889890600
9	10	0	-1097985638669256
9	9	1	-16359589135440
9	9	0	15165113757472422
9	8	1	-604201609496304
9	8	0	204217550837928126
9	7	1	4629294603121968
9	7	0	711774824612284872
9	6	1	217571356527435216
9	6	0	39611500311701361096
9	5	2	548003817387648
9	5	1	1516944064199731056
9	5	0	664909398479178265212
9	4	2	13292029255305024
9	4	1	-594144842625669312
9	4	0	4655425874241679416648
9	3	2	84025398315548736
9	3	1	-39545549246171650716
9	3	0	17448261266803853687634
9	2	2	263447242632097344
9	2	1	-175082193750409967988
9	2	0	37637217640790155825614
9	1	3	11344406400000
9	1	2	398924951145745536
9	1	1	-324479018337338302848
9	1	0	44602224917579392531680
9	0	3	24165475200000
9	0	2	264297132171058752
9	0	1	-237272841036188186832
9	0	0	22946602179352704187572
8	12	0	-116413169251590
8	11	1	-965531456640
8	11	0	3127693956873858
8	10	1	-70548683469984
8	10	0	28612549775443752
8	9	1	1691100535958064
8	9	0	-300106519957117566
8	8	1	51531541672262832
8	8	0	1000838167729722702
8	7	2	175837660805952
8	7	1	-23479189731475560
8	7	0	10705707335839081320
8	6	2	6422551021965600
8	6	1	-4902287126445582840
8	6	0	-1120396443775788243366
8	5	2	28121798107886112
8	5	1	-13187172030891424200
8	5	0	-15900526130419818423630
8	4	2	-680657383466537760
8	4	1	193058699464481615784
8	4	0	-95172971794134948189288
8	3	3	-311572547136000
8	3	2	-6246002871040717440
8	3	1	1470469395209996612196
8	3	0	-316293286274376948546498
8	2	3	-1845738420480000
8	2	2	-22900650476312162016
8	2	1	4683029829877788126444
8	2	0	-619732638290529810717822
8	1	3	-4793444764992000
8	1	2	-39101599049560396416
8	1	1	7409290211925835022136
8	1	0	-678766621067190891004536
8	0	3	-4607905563648000
8	0	2	-27057746141598096576
8	0	1	4890963278959851466800
8	0	0	-325735515092123248147920
7	12	1	-5248492420320
7	12	0	3749217140544912
7	11	1	224956723564800
7	11	0	-75892170523273416
7	10	1	3792008381558688
7	10	0	-401149522240850808
