A	u	Z	coefficient
16	0	0	14520250000
15	2	0	-362467980000
15	1	0	-1546332960000
15	0	0	-3457459440000
14	4	0	3846408008400
14	3	0	42557255085600
14	2	0	214657195323600
14	1	0	488329839936000
14	0	1	-144021600000
14	0	0	499326046824600
13	6	0	4221788094000
13	5	0	10404566030880
13	4	0	-516985097537376
13	3	0	-4895641233989424
13	2	1	3729122712000
13	2	0	-19966799962429416
13	1	1	14979695904000
13	1	0	-38780473516748064
13	0	1	31972693032000
13	0	0	-31932124563137616
12	8	0	2216140754400
12	7	0	6032995888320
12	6	0	-40468297327704
12	5	0	4083164142255648
12	4	1	-46245250632960
12	4	0	58389972644167740
12	3	1	-485971230018240
12	3	0	338661546672879576
12	2	1	-2327609349329760
12	2	0	1049344899518239596
12	1	1	-5022585698480640
12	1	0	1704499586054041680
12	0	2	513293760000
12	0	1	-4760328608624160
12	0	0	1194522960189716577
11	10	0	526252755600
11	9	0	-3011836109040
11	8	0	-108305534888352
11	7	0	-8851357693872
11	6	1	-46759569943680
11	6	0	-13635956629145052
11	5	1	-342433993820544
11	5	0	-355108411934536248
11	4	1	2877474119148864
11	4	0	-3009759688658247228
11	3	1	37198626956509536
11	3	0	-13190874647067440172
11	2	2	-14024079763200
11	2	1	164178629785826064
11	2	0	-33314347478199817728
11	1	2	-54834628838400
11	1	1	325279637646964416
11	1	0	-46380484737717739056
11	0	2	-113508062035200
11	0	1	263196685693902960
11	0	0	-28472972724632503908
10	12	0	44519082300
10	11	0	-925996911840
10	10	0	-23780685182112
10	9	0	138151855072080
10	8	1	-16686881966880
10	8	0	-254593257900264
10	7	1	-43029781186176
10	7	0	-24638690630525112
10	6	1	2072790969542784
10	6	0	548721768200813190
10	5	1	-2126222284671936
10	5	0	10386453022624476864
10	4	2	218504544065856
10	4	1	-255141005601604176
10	4	0	69321698308823463828
10	3	2	2255551036729344
10	3	1	-1870839784907677296
10	3	0	253408247824731602796
10	2	2	10369523579383296
10	2	1	-6426828236068461000
10	2	0	556364962402140947328
10	1	2	21498876721891584
10	1	1	-10995942100897995840
10	1	0	698728302210163213872
10	0	3	-774489600000
10	0	2	19141304854320576
10	0	1	-7835346427007981016
10	0	0	396942538797685512450
9	12	0	-2686566918420
9	11	0	44084815856928
9	10	1	-2850423825600
9	10	0	417138763297356
9	9	1	16696726242912
9	9	0	-3017888446077540
9	8	1	979320825113760
9	8	0	107938518800228784
9	7	1	2036038257739872
9	7	0	1243064591450500176
9	6	2	167632023648960
9	6	1	26830101471601536
9	6	0	-4914548273217502944
9	5	2	1640641178367360
9	5	1	1504799220108261024
9	5	0	-101937404978560299096
9	4	2	-8569969397972352
9	4	1	15286061722618861920
9	4	0	-503410459937548133412
9	3	2	-137740589650882944
9	3	1	71540988117962898312
9	3	0	-1321574728522003064460
9	2	3	22581597312000
9	2	2	-634287962439753408
9	2	1	185041051241623139664
9	2	0	-2298018781032090947208
9	1	3	87520310784000
9	1	2	-1265461099784779392
9	1	1	258574743695576516256
9	1	0	-2767281372542805985296
9	0	3	176224470912000
9	0	2	-1004564247461790336
9	0	1	156498138194152133376
9	0	0	-1782347030041153935924
8	12	1	-207049938480
8	12	0	68872177075617
8	11	1	4929397083072
8	11	0	-863188299282312
8	10	1	124461968865984
8	10	0	-882096842910132
8	9	1	-699253640315712
8	9	0	41964391847558412
8	8	2	44829769432896
8	8	1	-13275732608082072
8	8	0	-2490372711656702064
8	7	2	81616268507904
8	7	1	18030969172431216
8	7	0	-24968463107661415224
8	6	2	-10399307483267424
8	6	1	-3086001853271716176
8	6	0	-106001521145254050354
8	5	2	-70002256939391232
8	5	1	-60417410639578255152
8	5	0	-919532539403194653216
8	4	3	-497391547311360
8	4	2	301651789599585072
8	4	1	-429514863260566916016
8	4	0	-7623064736883970017048
8	3	3	-5156111465994240
8	3	2	4240077883689129408
8	3	1	-1616628147385705624296
8	3	0	-31980375258993061697628
8	2	3	-22825480511324160
8	2	2	17572384543893706368
8	2	1	-3522591101351617382808
8	2	0	-68976198577439610661764
8	1	3	-45585974025815040
8	1	2	32849360162292491136
